level,model,sku_id,description,observations,mae,rmse,wmape
overall,naive_lag_1,,,89712,9.4852,72.3710,1.2929
overall,moving_average_7,,,89712,7.9798,54.7478,1.0877
overall,seasonal_naive_lag_7,,,89712,8.5159,70.5383,1.1608
overall,weekday_seasonal_mean,,,89712,7.6587,53.6423,1.0440
sku,naive_lag_1,10002,INFLATABLE POLITICAL GLOBE,28,0.0000,0.0000,0.0000
sku,moving_average_7,10002,INFLATABLE POLITICAL GLOBE,28,0.0000,0.0000,0.0000
sku,seasonal_naive_lag_7,10002,INFLATABLE POLITICAL GLOBE,28,0.0000,0.0000,0.0000
sku,weekday_seasonal_mean,10002,INFLATABLE POLITICAL GLOBE,28,12.4169,15.3261,0.0000
sku,naive_lag_1,10120,DOGGY RUBBER,28,1.2143,2.5213,2.0000
sku,moving_average_7,10120,DOGGY RUBBER,28,1.0510,1.8501,1.7311
sku,seasonal_naive_lag_7,10120,DOGGY RUBBER,28,1.0000,2.2520,1.6471
sku,weekday_seasonal_mean,10120,DOGGY RUBBER,28,1.2695,1.8096,2.0909
sku,naive_lag_1,10123C,HEARTS WRAPPING TAPE,28,0.0000,0.0000,0.0000
sku,moving_average_7,10123C,HEARTS WRAPPING TAPE,28,0.0000,0.0000,0.0000
sku,seasonal_naive_lag_7,10123C,HEARTS WRAPPING TAPE,28,0.0000,0.0000,0.0000
sku,weekday_seasonal_mean,10123C,HEARTS WRAPPING TAPE,28,0.9156,1.4593,0.0000
sku,naive_lag_1,10125,MINI FUNKY DESIGN TAPES,28,5.4286,16.5529,1.7674
sku,moving_average_7,10125,MINI FUNKY DESIGN TAPES,28,5.3061,12.7050,1.7276
sku,seasonal_naive_lag_7,10125,MINI FUNKY DESIGN TAPES,28,5.2143,16.5141,1.6977
sku,weekday_seasonal_mean,10125,MINI FUNKY DESIGN TAPES,28,5.1977,11.2817,1.6923
sku,naive_lag_1,10133,COLOURING PENCILS BROWN TUBE,28,0.0000,0.0000,0.0000
sku,moving_average_7,10133,COLOURING PENCILS BROWN TUBE,28,0.0000,0.0000,0.0000
sku,seasonal_naive_lag_7,10133,COLOURING PENCILS BROWN TUBE,28,0.0000,0.0000,0.0000
sku,weekday_seasonal_mean,10133,COLOURING PENCILS BROWN TUBE,28,5.3865,6.1722,0.0000
sku,naive_lag_1,10134,COLOURING PENCILS BROWN TUBE,28,0.0000,0.0000,0.0000
sku,moving_average_7,10134,COLOURING PENCILS BROWN TUBE,28,0.0000,0.0000,0.0000
sku,seasonal_naive_lag_7,10134,COLOURING PENCILS BROWN TUBE,28,0.0000,0.0000,0.0000
sku,weekday_seasonal_mean,10134,COLOURING PENCILS BROWN TUBE,28,0.8769,1.2021,0.0000
sku,naive_lag_1,10135,COLOURING PENCILS BROWN TUBE,28,9.4643,14.7999,1.5407
sku,moving_average_7,10135,COLOURING PENCILS BROWN TUBE,28,8.2194,10.4778,1.3380
sku,seasonal_naive_lag_7,10135,COLOURING PENCILS BROWN TUBE,28,9.7500,14.4507,1.5872
sku,weekday_seasonal_mean,10135,COLOURING PENCILS BROWN TUBE,28,7.0225,10.0186,1.1432
sku,naive_lag_1,11001,ASSTD DESIGN RACING CAR PEN,28,3.9286,7.0508,1.1000
sku,moving_average_7,11001,ASSTD DESIGN RACING CAR PEN,28,5.6327,7.0296,1.5771
sku,seasonal_naive_lag_7,11001,ASSTD DESIGN RACING CAR PEN,28,5.6071,9.6344,1.5700
sku,weekday_seasonal_mean,11001,ASSTD DESIGN RACING CAR PEN,28,5.5273,7.0954,1.5476
sku,naive_lag_1,15034,PAPER POCKET TRAVELING FAN,28,9.5357,16.6057,1.6481
sku,moving_average_7,15034,PAPER POCKET TRAVELING FAN,28,8.4133,12.8250,1.4541
sku,seasonal_naive_lag_7,15034,PAPER POCKET TRAVELING FAN,28,9.5000,17.0524,1.6420
sku,weekday_seasonal_mean,15034,PAPER POCKET TRAVELING FAN,28,12.9355,18.2024,2.2358
sku,naive_lag_1,15036,ASSORTED COLOURS SILK FAN,28,27.6786,40.2514,1.4847
sku,moving_average_7,15036,ASSORTED COLOURS SILK FAN,28,25.7245,32.8146,1.3799
sku,seasonal_naive_lag_7,15036,ASSORTED COLOURS SILK FAN,28,25.7500,42.2150,1.3812
sku,weekday_seasonal_mean,15036,ASSORTED COLOURS SILK FAN,28,44.6844,56.8119,2.3969
sku,naive_lag_1,15039,SANDALWOOD FAN,28,11.4643,24.5335,2.0710
sku,moving_average_7,15039,SANDALWOOD FAN,28,11.1684,16.0365,2.0175
sku,seasonal_naive_lag_7,15039,SANDALWOOD FAN,28,11.7143,24.5299,2.1161
sku,weekday_seasonal_mean,15039,SANDALWOOD FAN,28,8.1197,13.8346,1.4668
sku,naive_lag_1,15044A,PINK PAPER PARASOL,28,2.3571,5.2304,1.9412
sku,moving_average_7,15044A,PINK PAPER PARASOL,28,1.9796,3.8092,1.6303
sku,seasonal_naive_lag_7,15044A,PINK PAPER PARASOL,28,2.2857,5.1686,1.8824
sku,weekday_seasonal_mean,15044A,PINK PAPER PARASOL,28,7.1741,14.4542,5.9081
sku,naive_lag_1,15044B,BLUE PAPER PARASOL,28,0.0000,0.0000,0.0000
sku,moving_average_7,15044B,BLUE PAPER PARASOL,28,0.0000,0.0000,0.0000
sku,seasonal_naive_lag_7,15044B,BLUE PAPER PARASOL,28,0.0000,0.0000,0.0000
sku,weekday_seasonal_mean,15044B,BLUE PAPER PARASOL,28,2.3439,2.9902,0.0000
sku,naive_lag_1,15044C,PURPLE PAPER PARASOL,28,1.0714,2.0529,1.8750
sku,moving_average_7,15044C,PURPLE PAPER PARASOL,28,0.9745,1.4711,1.7054
sku,seasonal_naive_lag_7,15044C,PURPLE PAPER PARASOL,28,1.1429,2.0874,2.0000
sku,weekday_seasonal_mean,15044C,PURPLE PAPER PARASOL,28,1.2999,1.5976,2.2748
sku,naive_lag_1,15044D,RED PAPER PARASOL,28,1.5714,2.7516,1.8333
sku,moving_average_7,15044D,RED PAPER PARASOL,28,1.4388,2.0468,1.6786
sku,seasonal_naive_lag_7,15044D,RED PAPER PARASOL,28,1.5000,2.6186,1.7500
sku,weekday_seasonal_mean,15044D,RED PAPER PARASOL,28,2.1249,2.5132,2.4790
sku,naive_lag_1,15056BL,EDWARDIAN PARASOL BLACK,28,7.4286,12.7026,1.1429
sku,moving_average_7,15056BL,EDWARDIAN PARASOL BLACK,28,7.2347,11.8458,1.1130
sku,seasonal_naive_lag_7,15056BL,EDWARDIAN PARASOL BLACK,28,7.8571,15.3157,1.2088
sku,weekday_seasonal_mean,15056BL,EDWARDIAN PARASOL BLACK,28,10.7733,12.8815,1.6574
sku,naive_lag_1,15056N,EDWARDIAN PARASOL NATURAL,28,10.1071,19.9293,1.3349
sku,moving_average_7,15056N,EDWARDIAN PARASOL NATURAL,28,10.1888,15.7869,1.3457
sku,seasonal_naive_lag_7,15056N,EDWARDIAN PARASOL NATURAL,28,10.7500,19.6478,1.4198
sku,weekday_seasonal_mean,15056N,EDWARDIAN PARASOL NATURAL,28,12.6052,15.7475,1.6648
sku,naive_lag_1,15056P,EDWARDIAN PARASOL PINK,28,6.1071,13.6159,1.9213
sku,moving_average_7,15056P,EDWARDIAN PARASOL PINK,28,4.8469,10.0592,1.5249
sku,seasonal_naive_lag_7,15056P,EDWARDIAN PARASOL PINK,28,5.7143,13.6172,1.7978
sku,weekday_seasonal_mean,15056P,EDWARDIAN PARASOL PINK,28,4.1248,9.1271,1.2977
sku,naive_lag_1,15058A,BLUE POLKADOT GARDEN PARASOL,28,0.1429,0.5345,2.0000
sku,moving_average_7,15058A,BLUE POLKADOT GARDEN PARASOL,28,0.1429,0.4041,2.0000
sku,seasonal_naive_lag_7,15058A,BLUE POLKADOT GARDEN PARASOL,28,0.1429,0.5345,2.0000
sku,weekday_seasonal_mean,15058A,BLUE POLKADOT GARDEN PARASOL,28,0.7014,0.7711,9.8200
sku,naive_lag_1,15058B,PINK POLKADOT GARDEN PARASOL,28,0.0714,0.2673,2.0000
sku,moving_average_7,15058B,PINK POLKADOT GARDEN PARASOL,28,0.0714,0.2020,2.0000
sku,seasonal_naive_lag_7,15058B,PINK POLKADOT GARDEN PARASOL,28,0.0714,0.2673,2.0000
sku,weekday_seasonal_mean,15058B,PINK POLKADOT GARDEN PARASOL,28,0.5958,0.6581,16.6822
sku,naive_lag_1,15058C,ICE CREAM DESIGN GARDEN PARASOL,28,0.1071,0.3273,1.5000
sku,moving_average_7,15058C,ICE CREAM DESIGN GARDEN PARASOL,28,0.1071,0.2766,1.5000
sku,seasonal_naive_lag_7,15058C,ICE CREAM DESIGN GARDEN PARASOL,28,0.1071,0.3273,1.5000
sku,weekday_seasonal_mean,15058C,ICE CREAM DESIGN GARDEN PARASOL,28,0.6011,0.7431,8.4148
