date,sku_id,description,demand_units,median_active_day_units,q1_units,q3_units,spike_threshold_units,multiple_of_median
2011-01-18,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,14.00,6.00,29.00,63.50,5301.07
2010-02-15,37410,BLACK AND WHITE PAISLEY FLOWER MUG,19152,12.00,3.00,30.25,71.12,1596.00
2010-03-17,21091,SET/6 WOODLAND PAPER PLATES,12960,12.00,3.00,12.75,27.38,1080.00
2010-03-17,21099,SET/6 STRAWBERRY PAPER CUPS,12960,5.00,2.00,12.00,27.00,2592.00
2010-03-17,21085,SET/6 WOODLAND PAPER CUPS,12744,7.00,2.00,12.00,27.00,1820.57
2011-11-25,84826,ASSTD DESIGN 3D PAPER STICKERS,12540,60.00,2.00,60.00,147.00,209.00
2010-03-17,21092,SET/6 STRAWBERRY PAPER PLATES,12480,8.50,1.25,18.75,45.00,1468.24
2010-09-03,17003,BROCADE RING PURSE,11124,37.00,36.00,110.00,221.00,300.65
2010-03-23,21984,PACK OF 12 PINK PAISLEY TISSUES,11000,14.50,3.00,36.25,86.12,758.62
2010-03-23,21982,PACK OF 12 SUKI TISSUES,10800,24.00,6.00,48.00,111.00,450.00
2010-05-10,84016,FLAG OF ST GEORGE CAR FLAG,10201,21.00,12.00,36.00,72.00,485.76
2010-03-23,21981,PACK OF 12 WOODLAND TISSUES,10048,24.00,3.00,48.00,115.50,418.67
2010-03-23,21980,PACK OF 12 RED RETROSPOT TISSUES,10000,25.00,12.00,49.00,104.50,400.00
2010-08-05,22759,check,9600,15.00,4.00,36.00,84.00,640.00
2010-11-04,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,9480,24.00,6.00,76.50,182.25,395.00
2010-01-21,20993,JAZZ HEARTS MEMO PAD,9312,12.00,2.25,48.00,116.62,776.00
2010-08-09,21088,SET/6 FRUIT SALAD PAPER CUPS,7128,10.00,3.00,24.00,55.50,712.80
2010-09-27,21088,SET/6 FRUIT SALAD PAPER CUPS,7128,10.00,3.00,24.00,55.50,712.80
2010-08-09,21096,SET/6 FRUIT SALAD PAPER PLATES,7008,6.00,3.00,16.00,35.50,1168.00
2010-09-27,21096,SET/6 FRUIT SALAD PAPER PLATES,7008,6.00,3.00,16.00,35.50,1168.00
2010-01-21,20991,JAZZ HEARTS MAGNETIC MEMO PAD,6768,3.00,1.50,15.00,35.25,2256.00
2010-11-04,17003,BROCADE RING PURSE,6732,37.00,36.00,110.00,221.00,181.95
2010-02-15,47503E,ASS FLORAL PRINT SCISSORS,6696,3.00,1.00,12.00,28.50,2232.00
2010-01-21,37410,BLACK AND WHITE PAISLEY FLOWER MUG,6012,12.00,3.00,30.25,71.12,501.00
2010-08-05,22752,SET 7 BABUSHKA NESTING BOXES,6000,4.00,2.00,10.75,23.88,1500.00
2011-01-28,37413,ICON MUG REVOLUTIONARY,5568,6.00,2.75,10.50,22.12,928.00
2010-03-17,37351,ORANGE FLOWER MUG,5364,6.00,2.00,6.00,12.00,894.00
2010-01-21,20756,GREEN FERN POCKET BOOK,5280,3.00,2.00,6.00,12.00,1760.00
2010-01-21,20759,CHRYSANTHEMUM POCKET BOOK,5280,3.00,2.00,7.75,16.38,1760.00
2009-12-03,21967,PACK OF 12 SKULL TISSUES,5184,14.50,4.00,36.00,84.00,357.52
2010-08-09,16047,POP ART PEN CASE & PENS,5184,4.50,1.00,12.00,28.50,1152.00
2010-09-27,16047,POP ART PEN CASE & PENS,5184,4.50,1.00,12.00,28.50,1152.00
2010-05-18,21982,PACK OF 12 SUKI TISSUES,5014,24.00,6.00,48.00,111.00,208.92
2010-05-18,21985,PACK OF 12 HEARTS DESIGN TISSUES,5005,24.00,12.00,49.00,104.50,208.54
2010-08-05,22753,SMALL YELLOW BABUSHKA NOTEBOOK,5000,5.00,2.00,13.00,29.50,1000.00
2010-08-05,22754,SMALL RED BABUSHKA NOTEBOOK,5000,12.00,3.00,16.00,35.50,416.67
2010-08-05,22755,SMALL PURPLE BABUSHKA NOTEBOOK,5000,8.00,2.00,15.50,35.75,625.00
2010-08-05,22756,LARGE YELLOW BABUSHKA NOTEBOOK,5000,3.00,1.00,12.00,28.50,1666.67
2010-08-05,22757,LARGE RED BABUSHKA NOTEBOOK,5000,6.00,2.00,12.75,28.88,833.33
2010-08-05,22758,LARGE PURPLE BABUSHKA NOTEBOOK,5000,3.00,1.00,12.00,28.50,1666.67
2010-08-09,37340,MULTICOLOUR SPRING FLOWER MUG,4992,12.00,3.00,48.00,115.50,416.00
2010-09-27,37340,MULTICOLOUR SPRING FLOWER MUG,4992,12.00,3.00,48.00,115.50,416.00
2010-04-13,22528,GARDENERS KNEELING PAD,4869,21.00,8.00,50.00,113.00,231.86
2011-10-27,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,4848,96.00,48.00,227.50,496.75,50.50
2010-01-21,20757,RED DAISY POCKET BOOK,4800,3.00,2.00,6.00,12.00,1600.00
2010-01-21,20758,ABSTRACT CIRCLES POCKET BOOK,4800,3.00,2.00,8.00,17.00,1600.00
2010-04-13,22558,CLOTHES PEGS RETROSPOT PACK 24,4800,22.00,12.00,51.00,109.50,218.18
2010-08-09,85110,BLACK SILVER FLOWER T-LIGHT HOLDER,4752,36.00,6.00,288.00,711.00,132.00
2010-09-27,85110,BLACK SILVER FLOWER T-LIGHT HOLDER,4752,36.00,6.00,288.00,711.00,132.00
2010-10-08,17003,BROCADE RING PURSE,4752,37.00,36.00,110.00,221.00,128.43
2010-03-17,37352,UNKNOWN,4608,5.50,4.75,7.50,11.62,837.82
2010-08-09,16046,TEATIME PEN CASE & PENS,4608,3.00,1.00,12.00,28.50,1536.00
2010-09-27,16046,TEATIME PEN CASE & PENS,4608,3.00,1.00,12.00,28.50,1536.00
2010-11-04,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,4527,96.00,48.00,227.50,496.75,47.16
2009-12-03,21981,PACK OF 12 WOODLAND TISSUES,4322,24.00,3.00,48.00,115.50,180.08
2010-01-21,20755,BLUE PAISLEY POCKET BOOK,4320,3.00,1.00,12.00,28.50,1440.00
2010-02-15,20760,GARDEN PATH POCKET BOOK,4320,4.00,2.75,12.00,25.88,1080.00
2010-08-09,85160A,WHITE BIRD GARDEN DESIGN MUG,4320,6.00,1.25,6.00,13.12,720.00
2010-09-27,85160A,WHITE BIRD GARDEN DESIGN MUG,4320,6.00,1.25,6.00,13.12,720.00
2011-05-27,22197,POPCORN HOLDER,4314,50.00,20.00,136.00,310.00,86.28
2010-02-18,22432,WATERING CAN PINK BUNNY,4296,6.00,3.00,12.00,25.50,716.00
2010-02-15,20729,UNKNOWN,4210,5.00,2.00,12.00,27.00,842.00
2010-02-15,47504E,ENGLISH ROSE SCISSORS,4176,2.00,1.00,4.50,9.75,2088.00
2009-12-03,21980,PACK OF 12 RED RETROSPOT TISSUES,4085,25.00,12.00,49.00,104.50,163.40
2011-06-09,85123A,CREAM HANGING HEART T-LIGHT HOLDER,4015,107.00,59.00,184.00,371.50,37.52
2009-12-03,21984,PACK OF 12 PINK PAISLEY TISSUES,4008,14.50,3.00,36.25,86.12,276.41
2010-10-29,16014,SMALL CHINESE STYLE SCISSOR,4000,20.00,10.00,60.50,136.25,200.00
2010-08-09,85184D,S/4 BLUE ROUND DECOUPAGE BOXES,3936,1.00,1.00,6.00,13.50,3936.00
2010-09-27,85184D,S/4 BLUE ROUND DECOUPAGE BOXES,3936,1.00,1.00,6.00,13.50,3936.00
2011-02-22,22053,EMPIRE DESIGN ROSETTE,3906,5.00,2.00,10.00,22.00,781.20
2010-01-21,17109B,FLOWER FAIRY INCENSE LAVENDER,3888,6.00,2.00,109.00,269.50,648.00
2010-08-09,16162L,THE KING GIFT BAG,3744,2.00,1.00,27.00,66.00,1872.00
2010-09-27,16162L,THE KING GIFT BAG,3744,2.00,1.00,27.00,66.00,1872.00
2010-08-09,21392,RED POLKADOT PUDDING BOWL,3648,6.00,2.00,6.00,12.00,608.00
2010-09-27,21392,RED POLKADOT PUDDING BOWL,3648,6.00,2.00,6.00,12.00,608.00
2010-04-30,84016,FLAG OF ST GEORGE CAR FLAG,3602,21.00,12.00,36.00,72.00,171.52
2010-06-08,15044A,PINK PAPER PARASOL,3506,6.00,2.00,7.00,14.50,584.33
2010-02-15,20775,DAISY NOTEBOOK,3360,2.00,1.00,3.00,6.00,1680.00
2010-02-15,20778,UNKNOWN,3360,2.00,1.00,4.00,8.50,1680.00
2011-08-04,84879,ASSORTED COLOUR BIRD ORNAMENT,3359,80.00,40.00,160.00,340.00,41.99
2010-02-15,85198,ASSORTED FARMYARD ANIMALS IN BUCKET,3312,12.00,12.00,12.25,12.62,276.00
2010-12-02,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,3264,96.00,48.00,227.50,496.75,34.00
2011-07-19,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,3206,12.00,1.25,24.00,58.12,267.17
2010-02-15,20774,GREEN FERN NOTEBOOK,3200,2.00,1.00,4.00,8.50,1600.00
2010-02-15,20777,CHRYSANTHEMUM NOTEBOOK,3200,2.00,1.00,3.50,7.25,1600.00
2010-10-08,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,3162,24.00,6.00,76.50,182.25,131.75
2010-11-11,84879,ASSORTED COLOUR BIRD ORNAMENT,3136,80.00,40.00,160.00,340.00,39.20
2011-01-11,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3132,9.00,4.00,19.00,41.50,348.00
2011-04-18,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3123,9.00,4.00,19.00,41.50,347.00
2011-01-11,85123A,CREAM HANGING HEART T-LIGHT HOLDER,3114,107.00,59.00,184.00,371.50,29.10
2011-12-08,22197,POPCORN HOLDER,3111,50.00,20.00,136.00,310.00,62.22
2011-07-14,23343,JUMBO BAG VINTAGE CHRISTMAS,3100,25.00,10.00,65.00,147.50,124.00
2010-08-09,21082,SET/20 FRUIT SALAD PAPER NAPKINS,3084,4.00,2.00,10.00,22.00,771.00
2010-09-27,21082,SET/20 FRUIT SALAD PAPER NAPKINS,3072,4.00,2.00,10.00,22.00,768.00
2009-12-08,72008,UNKNOWN,3048,12.00,5.50,26.50,58.00,254.00
2010-02-15,20773,BLUE PAISLEY NOTEBOOK,3046,2.00,1.00,5.00,11.00,1523.00
2010-02-15,20776,ABSTRACT CIRCLES NOTEBOOK,3040,2.00,2.00,5.75,11.38,1520.00
2011-11-02,16014,SMALL CHINESE STYLE SCISSOR,3020,20.00,10.00,60.50,136.25,151.00
2011-03-09,84988,SET OF 72 PINK HEART PAPER DOILIES,3012,12.00,3.00,24.00,55.50,251.00
2009-12-15,16014,SMALL CHINESE STYLE SCISSOR,3000,20.00,10.00,60.50,136.25,150.00
2010-08-09,85160B,BLACK BIRD GARDEN DESIGN MUG,2976,6.00,6.00,7.50,9.75,496.00
2010-09-27,85160B,BLACK BIRD GARDEN DESIGN MUG,2976,6.00,6.00,7.50,9.75,496.00
2010-10-08,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2976,96.00,48.00,227.50,496.75,31.00
2010-05-24,21413,PERIWINKLE T-LIGHT HOLDER,2973,2.00,1.00,5.00,11.00,1486.50
2010-08-09,37423,WHITE WITH BLACK CATS PLATE,2952,3.00,1.00,6.00,13.50,984.00
2010-09-27,37423,WHITE WITH BLACK CATS PLATE,2952,3.00,1.00,6.00,13.50,984.00
2010-05-07,84670,UNKNOWN,2904,24.00,12.00,48.00,102.00,121.00
2010-02-15,47503K,ASSORTED FLORAL SECATEURS,2880,4.00,1.00,12.00,28.50,720.00
2010-05-12,16033,UNKNOWN,2880,120.00,120.00,120.00,240.00,24.00
2010-10-22,84568,GIRLS ALPHABET IRON ON PATCHES,2880,17.00,7.00,288.00,709.50,169.41
2010-10-22,84598,BOYS ALPHABET IRON ON PATCHES,2880,10.00,5.00,25.50,56.25,288.00
2011-10-07,20971,PINK BLUE FELT CRAFT TRINKET BOX,2868,16.00,12.00,32.00,62.00,179.25
2010-02-15,47503F,UNKNOWN,2774,12.00,3.00,13.00,28.00,231.17
2011-05-23,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2724,51.00,25.00,100.00,212.50,53.41
2010-02-15,20731,UNKNOWN,2700,2.00,1.00,10.00,23.50,1350.00
2010-05-24,84509F,SET OF 4 NEW ENGLAND PLACEMATS,2664,2.00,2.00,4.00,7.00,1332.00
2010-06-07,20727,LUNCH BAG BLACK SKULL.,2654,30.00,13.00,51.00,108.00,88.47
2010-04-19,47503A,ASS FLORAL PRINT MULTI SCREWDRIVER,2651,13.00,3.00,24.00,55.50,203.92
2011-10-27,23084,RABBIT NIGHT LIGHT,2647,37.50,6.75,320.25,790.50,70.59
2011-02-03,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2640,96.00,48.00,227.50,496.75,27.50
2011-04-18,47556B,TEA TIME TEA TOWELS,2600,8.00,5.00,13.00,25.00,325.00
2011-11-29,23084,RABBIT NIGHT LIGHT,2562,37.50,6.75,320.25,790.50,68.32
2010-07-16,22604,SET OF 4 NAPKIN CHARMS CUTLERY,2560,6.00,2.75,12.00,25.88,426.67
2010-07-16,22638,SET OF 4 NAPKIN CHARMS CROWNS,2560,5.00,2.00,6.00,12.00,512.00
2010-07-16,22639,SET OF 4 NAPKIN CHARMS HEARTS,2560,6.00,3.00,12.00,25.50,426.67
2010-07-16,22640,SET OF 4 NAPKIN CHARMS 3 KEYS,2560,3.50,1.00,6.00,13.50,731.43
2010-07-16,22641,SET OF 4 NAPKIN CHARMS INSTRUMENT,2560,2.00,1.00,6.00,13.50,1280.00
2010-07-16,22642,SET OF 4 NAPKIN CHARMS STARS,2560,6.00,2.25,12.00,26.62,426.67
2010-07-16,22643,SET OF 4 NAPKIN CHARMS LEAVES,2560,4.00,2.00,7.00,14.50,640.00
2011-01-28,79063D,"RETRO PILL BOX , REVOLUTIONARY",2560,10.00,1.50,30.00,72.75,256.00
2010-05-18,21986,PACK OF 12 PINK POLKADOT TISSUES,2539,16.50,6.00,36.75,82.88,153.88
2010-01-21,17109C,FLOWER FAIRY INCENSE ROSE,2520,15.50,1.75,91.50,226.12,162.58
2010-12-16,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,2497,25.00,24.00,48.00,84.00,99.88
2010-08-09,21393,UNKNOWN,2496,6.00,6.00,9.00,13.50,416.00
2010-09-27,21393,UNKNOWN,2496,6.00,6.00,9.00,13.50,416.00
2010-06-07,20728,LUNCH BAG CARS BLUE,2443,25.50,12.00,43.00,89.50,95.80
2010-06-07,20726,LUNCH BAG WOODLAND,2414,23.00,12.00,40.00,82.00,104.96
2010-11-14,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,2412,12.00,1.25,24.00,58.12,201.00
2010-10-29,22197,POPCORN HOLDER,2405,50.00,20.00,136.00,310.00,48.10
2010-06-24,84016,FLAG OF ST GEORGE CAR FLAG,2401,21.00,12.00,36.00,72.00,114.33
2010-05-14,47587A,UNKNOWN,2400,2.00,1.00,20.50,49.75,1200.00
2011-02-11,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,2400,25.00,24.00,48.00,84.00,96.00
2011-02-16,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,2400,12.00,1.25,24.00,58.12,200.00
2010-08-03,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2362,96.00,48.00,227.50,496.75,24.60
2011-04-01,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2304,96.00,48.00,227.50,496.75,24.00
2009-12-22,47503F,UNKNOWN,2300,12.00,3.00,13.00,28.00,191.67
2010-05-18,85078,SCANDINAVIAN 3 HEARTS NAPKIN RING,2300,9.50,2.00,24.00,57.00,242.11
2011-03-20,21967,PACK OF 12 SKULL TISSUES,2184,14.50,4.00,36.00,84.00,150.62
2011-11-03,21915,RED HARMONICA IN BOX,2158,24.00,12.00,60.00,132.00,89.92
2010-08-09,37424,WHITE WITH BLACK CATS MUG,2112,2.00,1.00,6.00,13.50,1056.00
2010-09-27,37424,WHITE WITH BLACK CATS MUG,2112,2.00,1.00,6.00,13.50,1056.00
2011-04-18,85123A,CREAM HANGING HEART T-LIGHT HOLDER,2102,107.00,59.00,184.00,371.50,19.64
2011-04-18,21175,GIN AND TONIC DIET METAL SIGN,2067,18.00,8.00,38.00,83.00,114.83
2011-10-28,22197,POPCORN HOLDER,2065,50.00,20.00,136.00,310.00,41.30
2011-01-11,21175,GIN AND TONIC DIET METAL SIGN,2060,18.00,8.00,38.00,83.00,114.44
