dimension,period,observed_demand_days,demand_units,average_units_per_observed_day,sales_revenue
weekday,Monday,94,2066882,21988.11,3581594.18
weekday,Tuesday,104,2188022,21038.67,4078149.96
weekday,Wednesday,104,2022286,19445.06,3488444.33
weekday,Thursday,103,2402814,23328.29,4195212.76
weekday,Friday,99,1743434,17610.44,3323908.88
weekday,Saturday,1,5119,5119.00,9803.05
weekday,Sunday,99,1027350,10377.27,1799147.28
calendar_month,01,48,792264,16505.50,1340966.72
calendar_month,02,48,677934,14123.62,1074050.29
calendar_month,03,54,914337,16932.17,1547130.52
calendar_month,04,44,697061,15842.30,1215843.74
calendar_month,05,49,822695,16789.69,1427002.11
calendar_month,06,52,807356,15526.08,1510084.32
calendar_month,07,52,764063,14693.52,1366886.39
calendar_month,08,52,946026,18192.81,1453093.29
calendar_month,09,52,1166784,22438.15,1978132.18
calendar_month,10,52,1248650,24012.50,2313165.95
calendar_month,11,52,1498885,28824.71,2968159.92
calendar_month,12,49,1119852,22854.12,2281745.01
