grain,period_start,demand_units,sales_revenue,sales_lines
daily,2009-12-01,26328,54351.23,3069
daily,2009-12-02,31846,63172.58,3212
daily,2009-12-03,50876,73972.45,2936
daily,2009-12-04,21290,40582.32,2480
daily,2009-12-05,5119,9803.05,400
daily,2009-12-06,11533,24423.02,1873
daily,2009-12-07,18454,44916.21,2808
daily,2009-12-08,26156,49476.23,2182
daily,2009-12-09,18309,40265.66,2425
daily,2009-12-10,23579,44233.96,2358
daily,2009-12-11,21268,39447.89,1411
daily,2009-12-13,12517,22176.46,1730
daily,2009-12-14,45335,73174.39,4034
daily,2009-12-15,27178,50262.29,1960
daily,2009-12-16,24891,52545.55,3181
daily,2009-12-17,15485,30638.25,1819
daily,2009-12-18,17414,42470.29,2020
daily,2009-12-20,6245,11382.54,622
daily,2009-12-21,8819,16322.95,601
daily,2009-12-22,27098,28017.28,1974
daily,2009-12-23,4601,10849.35,524
daily,2010-01-04,11000,13445.80,627
daily,2010-01-05,11396,19114.34,902
daily,2010-01-06,7483,8736.75,292
daily,2010-01-07,40734,73039.89,983
daily,2010-01-08,12705,30293.95,705
daily,2010-01-10,13383,23597.85,690
daily,2010-01-11,14899,37886.41,2663
daily,2010-01-12,21492,40786.98,1065
daily,2010-01-13,8882,22470.18,1577
daily,2010-01-14,13784,31550.90,2156
daily,2010-01-15,8671,13507.90,642
daily,2010-01-17,9911,17393.20,1077
daily,2010-01-18,10381,21397.71,1878
daily,2010-01-19,15274,33233.88,1827
daily,2010-01-20,10646,19018.04,1115
daily,2010-01-21,72905,27359.23,1147
daily,2010-01-22,18605,36786.17,1463
daily,2010-01-24,8846,15930.84,1229
daily,2010-01-25,10038,22994.15,1652
daily,2010-01-26,23646,47166.99,1506
daily,2010-01-27,17933,28668.30,1512
daily,2010-01-28,11631,19816.87,1187
daily,2010-01-29,10254,28358.43,1159
daily,2010-01-31,10735,18600.35,1366
daily,2010-02-01,9324,19784.23,1370
daily,2010-02-02,11094,21513.02,1130
daily,2010-02-03,10372,21414.70,1447
daily,2010-02-04,12813,22500.71,1488
daily,2010-02-05,10428,21844.60,943
daily,2010-02-07,11186,17026.83,795
daily,2010-02-08,8617,17407.00,1323
daily,2010-02-09,10891,19618.82,1042
daily,2010-02-10,3761,9542.04,848
daily,2010-02-11,9186,15080.27,818
daily,2010-02-12,8141,11380.41,776
daily,2010-02-14,10895,17785.58,1152
daily,2010-02-15,96823,42469.53,876
daily,2010-02-16,16904,31144.43,1886
daily,2010-02-17,25014,26512.72,1000
daily,2010-02-18,24053,35750.14,1315
daily,2010-02-19,12611,27225.01,1616
daily,2010-02-21,5555,11394.73,907
daily,2010-02-22,13661,26353.58,1121
daily,2010-02-23,12399,22651.17,1143
daily,2010-02-24,22970,33065.09,1316
daily,2010-02-25,26328,46615.67,1496
daily,2010-02-26,10415,16682.95,980
daily,2010-02-28,8419,16741.49,1247
daily,2010-03-01,22013,25782.41,1188
daily,2010-03-02,11990,26384.14,1519
daily,2010-03-03,20381,34058.37,1702
daily,2010-03-04,18765,32298.39,1887
daily,2010-03-05,18387,27536.73,1252
daily,2010-03-07,10950,19805.55,1740
daily,2010-03-08,15826,37254.31,1944
daily,2010-03-09,12845,21999.60,1158
daily,2010-03-10,18112,27453.03,1556
daily,2010-03-11,14853,24495.36,1281
daily,2010-03-12,11523,21689.34,908
daily,2010-03-14,4927,8947.90,649
daily,2010-03-15,15293,27587.70,1647
daily,2010-03-16,12852,23955.88,1279
daily,2010-03-17,78901,30719.54,1261
daily,2010-03-18,23660,41086.47,1554
daily,2010-03-19,13376,45641.61,1348
daily,2010-03-21,12281,20522.53,1325
daily,2010-03-22,12863,25441.66,1460
daily,2010-03-23,54452,56400.48,1274
daily,2010-03-24,15326,30118.40,1464
daily,2010-03-25,17185,38826.80,1823
daily,2010-03-26,20985,32523.46,1352
daily,2010-03-28,14517,22402.00,1791
daily,2010-03-29,25151,59864.07,1943
daily,2010-03-30,19258,38506.00,1803
daily,2010-03-31,13642,29613.53,1846
daily,2010-04-01,17603,30768.00,1689
daily,2010-04-06,13038,19394.87,1065
daily,2010-04-07,23537,34542.31,1362
daily,2010-04-08,26804,47554.84,1982
daily,2010-04-09,9123,16949.62,907
daily,2010-04-11,11585,19732.05,1074
daily,2010-04-12,12839,27122.85,927
daily,2010-04-13,25896,25966.67,1230
daily,2010-04-14,16457,27064.35,1071
daily,2010-04-15,10769,29559.63,1131
daily,2010-04-16,14865,19508.45,844
daily,2010-04-18,12961,23934.46,1428
daily,2010-04-19,22077,45228.87,3102
daily,2010-04-20,13465,29083.36,1499
daily,2010-04-21,13647,29380.61,1302
daily,2010-04-22,21589,43480.08,1408
daily,2010-04-23,10212,16582.71,1118
daily,2010-04-25,8380,16574.53,1288
daily,2010-04-26,19558,36086.35,1912
daily,2010-04-27,23446,46110.74,1635
daily,2010-04-28,19380,32452.69,1754
daily,2010-04-29,17338,32709.82,2000
daily,2010-04-30,21178,29087.39,1217
daily,2010-05-02,6296,12342.17,831
daily,2010-05-04,11534,22701.79,1393
