sku_id,description,category,demand_units,sales_revenue,sales_lines,active_demand_days
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,UNMAPPED,106250,24445.61,1024,470
85123A,CREAM HANGING HEART T-LIGHT HOLDER,UNMAPPED,98724,261168.73,5616,603
85099B,JUMBO BAG RED RETROSPOT,UNMAPPED,97183,182680.98,4072,590
21212,PACK OF 72 RETROSPOT CAKE CASES,UNMAPPED,94884,51825.15,3181,594
22197,POPCORN HOLDER,UNMAPPED,88993,79520.20,2373,563
23843,"PAPER CRAFT , LITTLE BIRDIE",UNMAPPED,80995,168469.60,1,1
84879,ASSORTED COLOUR BIRD ORNAMENT,UNMAPPED,80090,129324.49,2849,582
23166,MEDIUM CERAMIC TOP STORAGE JAR,UNMAPPED,78033,81700.92,250,125
17003,BROCADE RING PURSE,UNMAPPED,70379,14766.42,463,302
21977,PACK OF 60 PINK PAISLEY CAKE CASES,UNMAPPED,56061,28081.73,2025,565
84991,60 TEATIME FAIRY CAKE CASES,UNMAPPED,54028,27041.21,2179,559
15036,ASSORTED COLOURS SILK FAN,UNMAPPED,44392,32967.03,993,433
22492,MINI PAINT SET VINTAGE,UNMAPPED,43546,27817.59,732,361
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,UNMAPPED,40439,25205.13,1273,490
20725,LUNCH BAG RED RETROSPOT,UNMAPPED,40317,71106.29,3090,594
21213,PACK OF 72 SKULL CAKE CASES,UNMAPPED,40263,21390.76,1505,538
22178,VICTORIAN GLASS HANGING T-LIGHT,UNMAPPED,40081,52382.82,1841,560
22386,JUMBO BAG PINK POLKADOT,UNMAPPED,39437,76324.62,2269,537
22616,PACK OF 12 LONDON TISSUES,UNMAPPED,39351,12460.16,842,371
21232,STRAWBERRY CERAMIC TRINKET POT,UNMAPPED,37998,49300.57,2479,567
85099F,JUMBO BAG STRAWBERRY,UNMAPPED,37165,69002.13,1879,552
84568,GIRLS ALPHABET IRON ON PATCHES,UNMAPPED,37066,7788.67,310,223
84946,ANTIQUE SILVER T-LIGHT GLASS,UNMAPPED,36696,49210.40,1787,539
21915,RED HARMONICA IN BOX,UNMAPPED,36517,42664.54,1036,415
22086,PAPER CHAIN KIT 50'S CHRISTMAS,UNMAPPED,35113,117760.29,2069,307
84992,72 SWEETHEART FAIRY CAKE CASES,UNMAPPED,34797,17259.85,1502,518
22952,60 CAKE CASES VINTAGE CHRISTMAS,UNMAPPED,33988,19240.05,1173,216
71459,HANGING JAM JAR T-LIGHT HOLDERS,UNMAPPED,32989,26738.79,1019,443
21982,PACK OF 12 SUKI TISSUES,UNMAPPED,32553,10395.88,733,367
20724,RED RETROSPOT CHARLOTTE BAG,UNMAPPED,32207,35190.21,2061,566
22355,CHARLOTTE BAG SUKI DESIGN,UNMAPPED,31975,45377.56,1759,557
23084,RABBIT NIGHT LIGHT,UNMAPPED,31673,66870.03,1030,140
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,UNMAPPED,31522,71300.40,784,259
21980,PACK OF 12 RED RETROSPOT TISSUES,UNMAPPED,31337,8650.14,680,389
21975,PACK OF 60 DINOSAUR CAKE CASES,UNMAPPED,31332,15236.62,1329,516
21080,SET/20 RED RETROSPOT PAPER NAPKINS,UNMAPPED,31078,25416.93,2157,584
85099C,JUMBO BAG BAROQUE BLACK WHITE,UNMAPPED,30657,59142.78,1901,560
16014,SMALL CHINESE STYLE SCISSOR,UNMAPPED,29355,9513.10,93,87
21931,JUMBO STORAGE BAG SUKI,UNMAPPED,29183,61537.55,2353,579
21731,RED TOADSTOOL LED NIGHT LIGHT,UNMAPPED,29054,48315.84,1555,523
47566,PARTY BUNTING,UNMAPPED,28248,148318.28,2708,542
