scope,model_family,model,observations,mae,rmse,wmape
overall,deep_learning,gru,89505,6.7641,54.1742,0.9253
overall,deep_learning,lstm,89505,6.7783,54.2800,0.9272
overall,statistical,weekday_seasonal_mean,89505,7.6360,53.6748,1.0445
overall,statistical,moving_average_7,89505,7.9584,54.7934,1.0886
overall,machine_learning,lightgbm,89505,8.0798,52.5062,1.1052
overall,machine_learning,xgboost,89505,8.3831,52.8454,1.1467
overall,statistical,seasonal_naive_lag_7,89505,8.5104,70.6137,1.1641
overall,statistical,naive_lag_1,89505,9.4542,72.4305,1.2932
late_holdout,deep_learning,gru,44786,6.4221,36.0895,0.9325
late_holdout,machine_learning,lightgbm,44786,8.0973,34.0456,1.1757
late_holdout,deep_learning,lstm,44786,6.4237,36.2530,0.9327
late_holdout,statistical,moving_average_7,44786,7.7351,40.3932,1.1231
late_holdout,statistical,naive_lag_1,44786,9.1148,74.2545,1.3234
late_holdout,statistical,seasonal_naive_lag_7,44786,8.2428,71.7293,1.1968
late_holdout,statistical,weekday_seasonal_mean,44786,7.3520,35.4648,1.0675
late_holdout,machine_learning,xgboost,44786,8.4794,34.8498,1.2312
late_holdout,combination,sku_champion_combination,44786,6.9523,68.4437,1.0094
