snapshot_date,sku_id,description,category,location_count,on_hand_quantity,on_order_quantity,reserved_quantity,available_supply_quantity,inventory_value,avg_daily_forecast_units,lead_time_days,reorder_point_units,days_of_supply,potential_stockout,excess_inventory,slow_moving,risk_level,risk_reason
,10002,INFLATABLE POLITICAL GLOBE,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,10120,DOGGY RUBBER,UNMAPPED,,,,,,,0.3078,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,10123C,HEARTS WRAPPING TAPE,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,10125,MINI FUNKY DESIGN TAPES,UNMAPPED,,,,,,,0.2201,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,10133,COLOURING PENCILS BROWN TUBE,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,10134,COLOURING PENCILS BROWN TUBE,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,10135,COLOURING PENCILS BROWN TUBE,UNMAPPED,,,,,,,2.3478,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,11001,ASSTD DESIGN RACING CAR PEN,UNMAPPED,,,,,,,1.4210,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,15034,PAPER POCKET TRAVELING FAN,UNMAPPED,,,,,,,1.9525,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,15036,ASSORTED COLOURS SILK FAN,UNMAPPED,,,,,,,6.0740,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,15039,SANDALWOOD FAN,UNMAPPED,,,,,,,1.8523,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,15044A,PINK PAPER PARASOL,UNMAPPED,,,,,,,0.4542,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,15044B,BLUE PAPER PARASOL,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,15044C,PURPLE PAPER PARASOL,UNMAPPED,,,,,,,0.2898,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,15044D,RED PAPER PARASOL,UNMAPPED,,,,,,,0.4453,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,15056BL,EDWARDIAN PARASOL BLACK,UNMAPPED,,,,,,,2.6168,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,15056N,EDWARDIAN PARASOL NATURAL,UNMAPPED,,,,,,,2.1604,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,15056P,EDWARDIAN PARASOL PINK,UNMAPPED,,,,,,,0.7842,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,15058A,BLUE POLKADOT GARDEN PARASOL,UNMAPPED,,,,,,,0.1266,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,15058B,PINK POLKADOT GARDEN PARASOL,UNMAPPED,,,,,,,0.0980,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,15058C,ICE CREAM DESIGN GARDEN PARASOL,UNMAPPED,,,,,,,0.0959,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,15060B,FAIRY CAKE DESIGN UMBRELLA,UNMAPPED,,,,,,,0.1806,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16008,SMALL FOLDING SCISSOR(POINTED EDGE),UNMAPPED,,,,,,,2.6107,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16011,ANIMAL STICKERS,UNMAPPED,,,,,,,1.9034,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16012,FOOD/DRINK SPONGE STICKERS,UNMAPPED,,,,,,,0.4323,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16014,SMALL CHINESE STYLE SCISSOR,UNMAPPED,,,,,,,1.2729,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16015,MEDIUM CHINESE STYLE SCISSOR,UNMAPPED,,,,,,,0.1848,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16016,LARGE CHINESE STYLE SCISSOR,UNMAPPED,,,,,,,0.9185,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16020C,CLEAR STATIONERY BOX SET,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16033,UNKNOWN,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16045,POPART WOODEN PENCILS ASST,UNMAPPED,,,,,,,2.6608,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16046,TEATIME PEN CASE & PENS,UNMAPPED,,,,,,,0.1162,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16048,TEATIME ROUND PENCIL SHARPENER,UNMAPPED,,,,,,,0.7280,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16052,TEATIME PUSH DOWN RUBBER,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16156L,WRAP CAROUSEL,UNMAPPED,,,,,,,0.3586,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16156N,"WRAP, FRIENDSHIP ON GREEN",UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16156S,WRAP PINK FAIRY CAKES,UNMAPPED,,,,,,,3.6618,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16161G,WRAP BAD HAIR DAY,UNMAPPED,,,,,,,0.5170,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16161M,WRAP PINK FLOCK,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16161P,WRAP ENGLISH ROSE,UNMAPPED,,,,,,,1.8422,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16161U,WRAP SUKI AND FRIENDS,UNMAPPED,,,,,,,1.8571,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16168M,FUNKY MONKEY GIFT BAG MEDIUM,UNMAPPED,,,,,,,0.2744,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16169C,WRAP BLUE REINDEER,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16169E,WRAP 50'S CHRISTMAS,UNMAPPED,,,,,,,13.4381,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16169K,WRAP FOLK ART,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16169M,WRAP DAISY CARPET,UNMAPPED,,,,,,,0.3069,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16169N,WRAP BLUE RUSSIAN FOLKART,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16169P,WRAP GREEN RUSSIAN FOLKART,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16207A,UNKNOWN,UNMAPPED,,,,,,,0.1013,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16207B,PINK HEART RED HANDBAG,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16212,UNKNOWN,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16216,LETTER SHAPE PENCIL SHARPENER,UNMAPPED,,,,,,,2.0521,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16218,CARTOON PENCIL SHARPENERS,UNMAPPED,,,,,,,1.5663,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16219,HOUSE SHAPE PENCIL SHARPENER,UNMAPPED,,,,,,,2.6609,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16225,RATTLE SNAKE EGGS,UNMAPPED,,,,,,,1.6361,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16235,RECYCLED PENCIL WITH RABBIT ERASER,UNMAPPED,,,,,,,2.6827,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16236,KITTY PENCIL ERASERS,UNMAPPED,,,,,,,1.6764,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16237,SLEEPING CAT ERASERS,UNMAPPED,,,,,,,8.5323,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16238,PARTY TIME PENCIL ERASERS,UNMAPPED,,,,,,,2.1381,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16256B,UNKNOWN,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16258A,SWIRLY CIRCULAR RUBBERS IN BAG,UNMAPPED,,,,,,,0.8494,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,16259,PIECE OF CAMO STATIONERY SET,UNMAPPED,,,,,,,0.1297,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17003,BROCADE RING PURSE,UNMAPPED,,,,,,,9.0603,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,UNMAPPED,,,,,,,0.1640,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,UNMAPPED,,,,,,,0.1305,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,UNMAPPED,,,,,,,0.9274,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17012D,ORIGAMI ROSE INCENSE/CANDLE SET,UNMAPPED,,,,,,,2.4229,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,UNMAPPED,,,,,,,2.0554,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17013D,ORIGAMI ROSE INCENSE IN TUBE,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17021,NAMASTE SWAGAT INCENSE,UNMAPPED,,,,,,,0.3346,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17033,UNKNOWN,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17038,PORCELAIN BUDAH INCENSE HOLDER,UNMAPPED,,,,,,,0.2469,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17039,INLAID WOOD INCENSE HOLDER,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17084N,FAIRY DREAMS INCENSE,UNMAPPED,,,,,,,0.6596,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17084P,DRAGONS BLOOD INCENSE,UNMAPPED,,,,,,,0.2468,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17084R,ASSORTED INCENSE PACK,UNMAPPED,,,,,,,0.2372,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
