snapshot_date,sku_id,description,location_count,supplier_ids,on_hand_quantity,on_order_quantity,reserved_quantity,inventory_position_units,avg_daily_demand_units,daily_demand_stddev_units,supplier_lead_time_days,service_level,z_score,safety_stock_units,reorder_point_units,target_stock_units,review_period_days,recommended_reorder_quantity,recommendation_status
2011-12-09,10002,INFLATABLE POLITICAL GLOBE,1,SIM-SUP-05,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3,95.00%,1.6449,0.0000,0.0000,0.0000,7,0,no_order_required
2011-12-09,10120,DOGGY RUBBER,1,SIM-SUP-02,3.0000,0.0000,0.0000,3.0000,0.6071,1.6763,3,95.00%,1.6449,4.7757,6.5971,10.8471,7,8,reorder_now
2011-12-09,10123C,HEARTS WRAPPING TAPE,1,SIM-SUP-11,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,7,95.00%,1.6449,0.0000,0.0000,0.0000,7,0,no_order_required
2011-12-09,10125,MINI FUNKY DESIGN TAPES,1,SIM-SUP-02,3.0000,0.0000,0.0000,3.0000,3.0714,11.6064,14,95.00%,1.6449,71.4315,114.4315,135.9315,7,133,reorder_now
2011-12-09,10133,COLOURING PENCILS BROWN TUBE,1,SIM-SUP-08,1.0000,1.0000,0.0000,2.0000,0.0000,0.0000,14,95.00%,1.6449,0.0000,0.0000,0.0000,7,0,no_order_required
2011-12-09,10134,COLOURING PENCILS BROWN TUBE,1,SIM-SUP-06,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,14,95.00%,1.6449,0.0000,0.0000,0.0000,7,0,no_order_required
2011-12-09,10135,COLOURING PENCILS BROWN TUBE,1,SIM-SUP-10,43.0000,0.0000,4.0000,39.0000,6.1429,9.7347,5,95.00%,1.6449,35.8044,66.5187,109.5187,7,71,reorder_now
2011-12-09,11001,ASSTD DESIGN RACING CAR PEN,1,SIM-SUP-02,14.0000,1.0000,2.0000,13.0000,3.5714,6.1958,5,95.00%,1.6449,22.7881,40.6453,65.6453,7,53,reorder_now
2011-12-09,15034,PAPER POCKET TRAVELING FAN,1,SIM-SUP-11,10.0000,0.0000,1.0000,9.0000,5.7857,12.1607,3,95.00%,1.6449,34.6455,52.0026,92.5026,7,84,reorder_now
2011-12-09,15036,ASSORTED COLOURS SILK FAN,1,SIM-SUP-02,72.0000,0.0000,5.0000,67.0000,18.6429,30.6375,5,95.00%,1.6449,112.6850,205.8993,336.3993,7,270,reorder_now
2011-12-09,15039,SANDALWOOD FAN,1,SIM-SUP-03,23.0000,0.0000,3.0000,20.0000,5.5357,13.2678,7,95.00%,1.6449,57.7398,96.4898,135.2398,7,116,reorder_now
2011-12-09,15044A,PINK PAPER PARASOL,1,SIM-SUP-06,12.0000,3.0000,2.0000,13.0000,1.2143,3.4985,10,95.00%,1.6449,18.1976,30.3405,38.8405,7,26,reorder_now
2011-12-09,15044B,BLUE PAPER PARASOL,1,SIM-SUP-09,2.0000,0.0000,0.0000,2.0000,0.0000,0.0000,14,95.00%,1.6449,0.0000,0.0000,0.0000,7,0,no_order_required
2011-12-09,15044C,PURPLE PAPER PARASOL,1,SIM-SUP-09,7.0000,1.0000,0.0000,8.0000,0.5714,1.3477,10,95.00%,1.6449,7.0101,12.7244,16.7244,7,9,reorder_now
2011-12-09,15044D,RED PAPER PARASOL,1,SIM-SUP-04,8.0000,0.0000,0.0000,8.0000,0.8571,1.8461,7,95.00%,1.6449,8.0341,14.0341,20.0341,7,13,reorder_now
2011-12-09,15056BL,EDWARDIAN PARASOL BLACK,1,SIM-SUP-05,23.0000,2.0000,2.0000,23.0000,6.5000,11.4033,3,95.00%,1.6449,32.4877,51.9877,97.4877,7,75,reorder_now
2011-12-09,15056N,EDWARDIAN PARASOL NATURAL,1,SIM-SUP-11,19.0000,0.0000,2.0000,17.0000,7.5714,14.5809,7,95.00%,1.6449,63.4541,116.4541,169.4541,7,153,reorder_now
2011-12-09,15056P,EDWARDIAN PARASOL PINK,1,SIM-SUP-06,7.0000,0.0000,1.0000,6.0000,3.1786,9.2969,5,95.00%,1.6449,34.1940,50.0869,72.3369,7,67,reorder_now
2011-12-09,15058A,BLUE POLKADOT GARDEN PARASOL,1,SIM-SUP-05,4.0000,1.0000,0.0000,5.0000,0.0714,0.3712,10,95.00%,1.6449,1.9306,2.6448,3.1448,7,0,no_order_required
2011-12-09,15058B,PINK POLKADOT GARDEN PARASOL,1,SIM-SUP-03,0.0000,0.0000,0.0000,0.0000,0.0357,0.1856,3,95.00%,1.6449,0.5287,0.6358,0.8858,7,1,reorder_now
2011-12-09,15058C,ICE CREAM DESIGN GARDEN PARASOL,1,SIM-SUP-08,4.0000,1.0000,0.0000,5.0000,0.0714,0.2575,14,95.00%,1.6449,1.5850,2.5850,3.0850,7,0,no_order_required
2011-12-09,15060B,FAIRY CAKE DESIGN UMBRELLA,1,SIM-SUP-11,1.0000,0.0000,0.0000,1.0000,1.0000,5.0071,5,95.00%,1.6449,18.4163,23.4163,30.4163,7,30,reorder_now
2011-12-09,16008,SMALL FOLDING SCISSOR(POINTED EDGE),1,SIM-SUP-08,65.0000,0.0000,7.0000,58.0000,26.1429,61.3606,7,95.00%,1.6449,267.0335,450.0335,633.0335,7,576,reorder_now
2011-12-09,16011,ANIMAL STICKERS,1,SIM-SUP-11,43.0000,5.0000,6.0000,42.0000,10.3214,22.6354,7,95.00%,1.6449,98.5064,170.7564,243.0064,7,202,reorder_now
2011-12-09,16012,FOOD/DRINK SPONGE STICKERS,1,SIM-SUP-11,18.0000,5.0000,0.0000,23.0000,1.7500,6.1738,14,95.00%,1.6449,37.9967,62.4967,74.7467,7,52,reorder_now
2011-12-09,16014,SMALL CHINESE STYLE SCISSOR,1,SIM-SUP-10,10.0000,0.0000,0.0000,10.0000,23.0357,93.0973,5,95.00%,1.6449,342.4123,457.5908,618.8408,7,609,reorder_now
2011-12-09,16015,MEDIUM CHINESE STYLE SCISSOR,1,SIM-SUP-05,1.0000,0.0000,0.0000,1.0000,0.3571,1.8558,5,95.00%,1.6449,6.8255,8.6112,11.1112,7,11,reorder_now
2011-12-09,16016,LARGE CHINESE STYLE SCISSOR,1,SIM-SUP-04,10.0000,0.0000,1.0000,9.0000,6.7857,14.4057,3,95.00%,1.6449,41.0415,61.3987,108.8987,7,100,reorder_now
2011-12-09,16020C,CLEAR STATIONERY BOX SET,1,SIM-SUP-06,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3,95.00%,1.6449,0.0000,0.0000,0.0000,7,0,no_order_required
2011-12-09,16033,UNKNOWN,1,SIM-SUP-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,95.00%,1.6449,0.0000,0.0000,0.0000,7,0,no_order_required
2011-12-09,16045,POPART WOODEN PENCILS ASST,1,SIM-SUP-07,86.0000,24.0000,13.0000,97.0000,39.2857,72.4041,14,95.00%,1.6449,445.6092,995.6092,1270.6092,7,1174,reorder_now
2011-12-09,16046,TEATIME PEN CASE & PENS,1,SIM-SUP-01,3.0000,0.0000,0.0000,3.0000,0.0357,0.1856,14,95.00%,1.6449,1.1421,1.6421,1.8921,7,0,no_order_required
2011-12-09,16048,TEATIME ROUND PENCIL SHARPENER,1,SIM-SUP-04,21.0000,0.0000,2.0000,19.0000,2.8571,7.4580,10,95.00%,1.6449,38.7929,67.3643,87.3643,7,69,reorder_now
2011-12-09,16052,TEATIME PUSH DOWN RUBBER,1,SIM-SUP-01,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,5,95.00%,1.6449,0.0000,0.0000,0.0000,7,0,no_order_required
2011-12-09,16156L,WRAP CAROUSEL,1,SIM-SUP-08,3.0000,0.0000,0.0000,3.0000,1.7857,6.4385,3,95.00%,1.6449,18.3430,23.7002,36.2002,7,34,reorder_now
2011-12-09,16156N,"WRAP, FRIENDSHIP ON GREEN",1,SIM-SUP-04,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,5,95.00%,1.6449,0.0000,0.0000,0.0000,7,0,no_order_required
2011-12-09,16156S,WRAP PINK FAIRY CAKES,1,SIM-SUP-05,29.0000,25.0000,1.0000,53.0000,12.5000,18.2981,10,95.00%,1.6449,95.1774,220.1774,307.6774,7,255,reorder_now
2011-12-09,16161G,WRAP BAD HAIR DAY,1,SIM-SUP-09,3.0000,1.0000,0.0000,4.0000,1.7857,6.4385,3,95.00%,1.6449,18.3430,23.7002,36.2002,7,33,reorder_now
2011-12-09,16161M,WRAP PINK FLOCK,1,SIM-SUP-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,95.00%,1.6449,0.0000,0.0000,0.0000,7,0,no_order_required
2011-12-09,16161P,WRAP ENGLISH ROSE,1,SIM-SUP-04,19.0000,7.0000,3.0000,23.0000,13.3929,21.6322,5,95.00%,1.6449,79.5634,146.5277,240.2777,7,218,reorder_now
2011-12-09,16161U,WRAP SUKI AND FRIENDS,1,SIM-SUP-04,41.0000,0.0000,5.0000,36.0000,8.9286,17.9462,7,95.00%,1.6449,78.0996,140.5996,203.0996,7,168,reorder_now
2011-12-09,16168M,FUNKY MONKEY GIFT BAG MEDIUM,1,SIM-SUP-01,8.0000,0.0000,1.0000,7.0000,1.2857,4.7649,14,95.00%,1.6449,29.3254,47.3254,56.3254,7,50,reorder_now
2011-12-09,16169C,WRAP BLUE REINDEER,1,SIM-SUP-09,2.0000,0.0000,0.0000,2.0000,0.0000,0.0000,7,95.00%,1.6449,0.0000,0.0000,0.0000,7,0,no_order_required
2011-12-09,16169E,WRAP 50'S CHRISTMAS,1,SIM-SUP-10,216.0000,0.0000,13.0000,203.0000,35.7500,34.9823,5,95.00%,1.6449,128.6649,307.4149,557.6649,7,355,reorder_now
2011-12-09,16169K,WRAP FOLK ART,1,SIM-SUP-09,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3,95.00%,1.6449,0.0000,0.0000,0.0000,7,0,no_order_required
2011-12-09,16169M,WRAP DAISY CARPET,1,SIM-SUP-08,14.0000,0.0000,1.0000,13.0000,1.7857,6.4385,14,95.00%,1.6449,39.6255,64.6255,77.1255,7,65,reorder_now
2011-12-09,16169N,WRAP BLUE RUSSIAN FOLKART,1,SIM-SUP-02,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3,95.00%,1.6449,0.0000,0.0000,0.0000,7,0,no_order_required
2011-12-09,16169P,WRAP GREEN RUSSIAN FOLKART,1,SIM-SUP-06,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,5,95.00%,1.6449,0.0000,0.0000,0.0000,7,0,no_order_required
2011-12-09,16207A,UNKNOWN,1,SIM-SUP-11,1.0000,0.0000,0.0000,1.0000,0.0357,0.1856,3,95.00%,1.6449,0.5287,0.6358,0.8858,7,0,no_order_required
2011-12-09,16207B,PINK HEART RED HANDBAG,1,SIM-SUP-02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,95.00%,1.6449,0.0000,0.0000,0.0000,7,0,no_order_required
2011-12-09,16212,UNKNOWN,1,SIM-SUP-03,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,7,95.00%,1.6449,0.0000,0.0000,0.0000,7,0,no_order_required
2011-12-09,16216,LETTER SHAPE PENCIL SHARPENER,1,SIM-SUP-12,14.0000,0.0000,1.0000,13.0000,16.2143,30.1654,3,95.00%,1.6449,85.9404,134.5833,248.0833,7,236,reorder_now
2011-12-09,16218,CARTOON PENCIL SHARPENERS,1,SIM-SUP-04,21.0000,0.0000,2.0000,19.0000,8.7500,22.3057,10,95.00%,1.6449,116.0228,203.5228,264.7728,7,246,reorder_now
2011-12-09,16219,HOUSE SHAPE PENCIL SHARPENER,1,SIM-SUP-01,29.0000,0.0000,1.0000,28.0000,8.2500,15.4102,7,95.00%,1.6449,67.0631,124.8131,182.5631,7,155,reorder_now
2011-12-09,16225,RATTLE SNAKE EGGS,1,SIM-SUP-05,10.0000,2.0000,0.0000,12.0000,5.8214,11.0520,5,95.00%,1.6449,40.6493,69.7564,110.5064,7,99,reorder_now
2011-12-09,16235,RECYCLED PENCIL WITH RABBIT ERASER,1,SIM-SUP-03,32.0000,8.0000,1.0000,39.0000,8.6071,16.1783,3,95.00%,1.6449,46.0916,71.9130,132.1630,7,94,reorder_now
2011-12-09,16236,KITTY PENCIL ERASERS,1,SIM-SUP-04,18.0000,0.0000,1.0000,17.0000,4.9286,12.0503,3,95.00%,1.6449,34.3309,49.1166,83.6166,7,67,reorder_now
2011-12-09,16237,SLEEPING CAT ERASERS,1,SIM-SUP-04,50.0000,19.0000,2.0000,67.0000,27.3571,38.6664,3,95.00%,1.6449,110.1593,192.2307,383.7307,7,317,reorder_now
2011-12-09,16238,PARTY TIME PENCIL ERASERS,1,SIM-SUP-08,65.0000,0.0000,5.0000,60.0000,6.3571,12.6807,14,95.00%,1.6449,78.0433,167.0433,211.5433,7,152,reorder_now
2011-12-09,16256B,UNKNOWN,1,SIM-SUP-11,2.0000,0.0000,0.0000,2.0000,0.0000,0.0000,14,95.00%,1.6449,0.0000,0.0000,0.0000,7,0,no_order_required
