scope,model_family,model,sku_id,description,observations,mae,rmse,wmape
sku,deep_learning,gru,10002,INFLATABLE POLITICAL GLOBE,28,0.0875,0.0875,0.0000
sku,machine_learning,lightgbm,10002,INFLATABLE POLITICAL GLOBE,28,0.3223,0.3353,0.0000
sku,deep_learning,lstm,10002,INFLATABLE POLITICAL GLOBE,28,0.0757,0.0757,0.0000
sku,statistical,moving_average_7,10002,INFLATABLE POLITICAL GLOBE,28,0.0000,0.0000,0.0000
sku,statistical,naive_lag_1,10002,INFLATABLE POLITICAL GLOBE,28,0.0000,0.0000,0.0000
sku,statistical,seasonal_naive_lag_7,10002,INFLATABLE POLITICAL GLOBE,28,0.0000,0.0000,0.0000
sku,statistical,weekday_seasonal_mean,10002,INFLATABLE POLITICAL GLOBE,28,12.4169,15.3261,0.0000
sku,machine_learning,xgboost,10002,INFLATABLE POLITICAL GLOBE,28,0.2692,0.2772,0.0000
sku,deep_learning,gru,10120,DOGGY RUBBER,28,0.8257,1.7337,1.3600
sku,machine_learning,lightgbm,10120,DOGGY RUBBER,28,5.9834,11.4606,9.8550
sku,deep_learning,lstm,10120,DOGGY RUBBER,28,0.7838,1.7409,1.2909
sku,statistical,moving_average_7,10120,DOGGY RUBBER,28,1.0510,1.8501,1.7311
sku,statistical,naive_lag_1,10120,DOGGY RUBBER,28,1.2143,2.5213,2.0000
sku,statistical,seasonal_naive_lag_7,10120,DOGGY RUBBER,28,1.0000,2.2520,1.6471
sku,statistical,weekday_seasonal_mean,10120,DOGGY RUBBER,28,1.2695,1.8096,2.0909
sku,machine_learning,xgboost,10120,DOGGY RUBBER,28,8.0664,20.7514,13.2858
sku,deep_learning,gru,10123C,HEARTS WRAPPING TAPE,28,0.0875,0.0875,0.0000
sku,machine_learning,lightgbm,10123C,HEARTS WRAPPING TAPE,28,0.3223,0.3353,0.0000
sku,deep_learning,lstm,10123C,HEARTS WRAPPING TAPE,28,0.0757,0.0757,0.0000
sku,statistical,moving_average_7,10123C,HEARTS WRAPPING TAPE,28,0.0000,0.0000,0.0000
sku,statistical,naive_lag_1,10123C,HEARTS WRAPPING TAPE,28,0.0000,0.0000,0.0000
sku,statistical,seasonal_naive_lag_7,10123C,HEARTS WRAPPING TAPE,28,0.0000,0.0000,0.0000
sku,statistical,weekday_seasonal_mean,10123C,HEARTS WRAPPING TAPE,28,0.9156,1.4592,0.0000
sku,machine_learning,xgboost,10123C,HEARTS WRAPPING TAPE,28,0.2907,0.2981,0.0000
sku,deep_learning,gru,10125,MINI FUNKY DESIGN TAPES,28,3.3065,11.9691,1.0765
sku,machine_learning,lightgbm,10125,MINI FUNKY DESIGN TAPES,28,6.9933,13.2270,2.2769
sku,deep_learning,lstm,10125,MINI FUNKY DESIGN TAPES,28,3.2555,11.9767,1.0599
sku,statistical,moving_average_7,10125,MINI FUNKY DESIGN TAPES,28,5.3061,12.7050,1.7276
sku,statistical,naive_lag_1,10125,MINI FUNKY DESIGN TAPES,28,5.4286,16.5529,1.7674
sku,statistical,seasonal_naive_lag_7,10125,MINI FUNKY DESIGN TAPES,28,5.2143,16.5141,1.6977
sku,statistical,weekday_seasonal_mean,10125,MINI FUNKY DESIGN TAPES,28,5.1977,11.2817,1.6923
sku,machine_learning,xgboost,10125,MINI FUNKY DESIGN TAPES,28,12.2337,26.6547,3.9831
sku,deep_learning,gru,10133,COLOURING PENCILS BROWN TUBE,28,0.0875,0.0875,0.0000
sku,machine_learning,lightgbm,10133,COLOURING PENCILS BROWN TUBE,28,0.3223,0.3353,0.0000
sku,deep_learning,lstm,10133,COLOURING PENCILS BROWN TUBE,28,0.0757,0.0757,0.0000
sku,statistical,moving_average_7,10133,COLOURING PENCILS BROWN TUBE,28,0.0000,0.0000,0.0000
sku,statistical,naive_lag_1,10133,COLOURING PENCILS BROWN TUBE,28,0.0000,0.0000,0.0000
sku,statistical,seasonal_naive_lag_7,10133,COLOURING PENCILS BROWN TUBE,28,0.0000,0.0000,0.0000
sku,statistical,weekday_seasonal_mean,10133,COLOURING PENCILS BROWN TUBE,28,5.3864,6.1722,0.0000
sku,machine_learning,xgboost,10133,COLOURING PENCILS BROWN TUBE,28,0.3432,0.3494,0.0000
sku,deep_learning,gru,10134,COLOURING PENCILS BROWN TUBE,28,0.0875,0.0875,0.0000
sku,machine_learning,lightgbm,10134,COLOURING PENCILS BROWN TUBE,28,0.3223,0.3353,0.0000
sku,deep_learning,lstm,10134,COLOURING PENCILS BROWN TUBE,28,0.0757,0.0757,0.0000
sku,statistical,moving_average_7,10134,COLOURING PENCILS BROWN TUBE,28,0.0000,0.0000,0.0000
sku,statistical,naive_lag_1,10134,COLOURING PENCILS BROWN TUBE,28,0.0000,0.0000,0.0000
sku,statistical,seasonal_naive_lag_7,10134,COLOURING PENCILS BROWN TUBE,28,0.0000,0.0000,0.0000
sku,statistical,weekday_seasonal_mean,10134,COLOURING PENCILS BROWN TUBE,28,0.8769,1.2021,0.0000
sku,machine_learning,xgboost,10134,COLOURING PENCILS BROWN TUBE,28,0.2692,0.2772,0.0000
sku,deep_learning,gru,10135,COLOURING PENCILS BROWN TUBE,28,6.5411,10.6381,1.0648
