sku_id,description,category,selected_model,observations,actual_units,forecast_units,bias_units,mae,rmse,wmape
84826,ASSTD DESIGN 3D PAPER STICKERS,UNMAPPED,naive_lag_1,14,92.0000,12632.0000,12540.0000,908.8571,3351.6364,138.3043
23084,RABBIT NIGHT LIGHT,UNMAPPED,xgboost,14,7970.0000,5148.0666,-2821.9334,368.4074,709.3929,0.6471
22197,POPCORN HOLDER,UNMAPPED,lightgbm,14,7774.0000,5155.4997,-2618.5003,362.5839,755.3432,0.6530
20668,DISCO BALL CHRISTMAS DECORATION,UNMAPPED,moving_average_7,14,2613.0000,2566.4286,-46.5714,207.7959,287.0784,1.1133
22413,METAL SIGN TAKE IT OR LEAVE IT,UNMAPPED,naive_lag_1,14,1463.0000,1463.0000,0.0000,206.0000,529.4207,1.9713
22086,PAPER CHAIN KIT 50'S CHRISTMAS,UNMAPPED,lightgbm,14,3154.0000,4473.9462,1319.9462,160.4961,193.1999,0.7124
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,UNMAPPED,xgboost,14,1430.0000,3044.4880,1614.4880,146.5534,172.0415,1.4348
85152,HAND OVER THE CHOCOLATE SIGN,UNMAPPED,naive_lag_1,14,1238.0000,1194.0000,-44.0000,139.5714,239.9235,1.5784
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,UNMAPPED,seasonal_naive_lag_7,14,1770.0000,2387.0000,617.0000,134.2143,218.0313,1.0616
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,UNMAPPED,lightgbm,14,1271.0000,2964.9059,1693.9059,125.9334,160.5730,1.3871
85123A,CREAM HANGING HEART T-LIGHT HOLDER,UNMAPPED,lightgbm,14,1411.0000,2319.0113,908.0113,120.3049,168.3808,1.1937
21137,BLACK RECORD COVER FRAME,UNMAPPED,lstm,14,1696.0000,167.3305,-1528.6695,116.7061,286.0871,0.9634
21166,COOK WITH WINE METAL SIGN,UNMAPPED,lstm,14,1568.0000,67.3502,-1500.6498,108.8556,177.8968,0.9719
21181,PLEASE ONE PERSON METAL SIGN,UNMAPPED,lstm,14,1471.0000,83.4214,-1387.5786,101.0634,139.5097,0.9619
21787,RAIN PONCHO RETROSPOT,UNMAPPED,weekday_seasonal_mean,14,1253.0000,249.3754,-1003.6246,97.6613,314.7050,1.0912
82600,N0 SINGING METAL SIGN,UNMAPPED,moving_average_7,14,1222.0000,1074.2856,-147.7144,95.0612,193.3203,1.0891
22865,HAND WARMER OWL DESIGN,UNMAPPED,naive_lag_1,14,1232.0000,1228.0000,-4.0000,94.5714,132.5260,1.0747
22616,PACK OF 12 LONDON TISSUES,UNMAPPED,weekday_seasonal_mean,14,1203.0000,720.2524,-482.7476,90.9965,163.3812,1.0590
22560,TRADITIONAL MODELLING CLAY,UNMAPPED,weekday_seasonal_mean,14,1373.0000,258.0594,-1114.9406,89.0652,232.3005,0.9082
79321,CHILLI LIGHTS,UNMAPPED,seasonal_naive_lag_7,14,607.0000,1274.0000,667.0000,88.0714,167.9670,2.0313
22959,WRAP CHRISTMAS VILLAGE,UNMAPPED,lightgbm,14,826.0000,1089.0861,263.0861,86.5624,139.5995,1.4672
84879,ASSORTED COLOUR BIRD ORNAMENT,UNMAPPED,weekday_seasonal_mean,14,1633.0000,1494.8952,-138.1048,85.2994,135.8992,0.7313
23344,JUMBO BAG 50'S CHRISTMAS,UNMAPPED,lightgbm,14,1663.0000,2766.8651,1103.8651,85.1302,106.9274,0.7167
23309,SET OF 60 I LOVE LONDON CAKE CASES,UNMAPPED,weekday_seasonal_mean,14,1246.0000,128.8120,-1117.1880,83.0564,168.3269,0.9332
21915,RED HARMONICA IN BOX,UNMAPPED,lstm,14,1122.0000,39.7502,-1082.2498,82.5326,298.8760,1.0298
22961,JAM MAKING SET PRINTED,UNMAPPED,seasonal_naive_lag_7,14,1209.0000,784.0000,-425.0000,81.9286,176.3420,0.9487
23343,JUMBO BAG VINTAGE CHRISTMAS,UNMAPPED,weekday_seasonal_mean,14,1241.0000,155.6824,-1085.3176,80.3574,118.8051,0.9065
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,UNMAPPED,seasonal_naive_lag_7,14,1858.0000,1700.0000,-158.0000,76.0000,116.5241,0.5727
22727,ALARM CLOCK BAKELIKE RED,UNMAPPED,weekday_seasonal_mean,14,1213.0000,150.6436,-1062.3564,75.8826,181.7939,0.8758
85099B,JUMBO BAG RED RETROSPOT,UNMAPPED,weekday_seasonal_mean,14,1529.0000,1833.0746,304.0746,74.8078,114.2906,0.6850
22952,60 CAKE CASES VINTAGE CHRISTMAS,UNMAPPED,weekday_seasonal_mean,14,1618.0000,597.2536,-1020.7464,73.4651,119.0940,0.6357
21175,GIN AND TONIC DIET METAL SIGN,UNMAPPED,seasonal_naive_lag_7,14,569.0000,797.0000,228.0000,73.2857,110.9131,1.8032
21790,VINTAGE SNAP CARDS,UNMAPPED,seasonal_naive_lag_7,14,928.0000,1210.0000,282.0000,72.4286,114.7818,1.0927
22338,STAR DECORATION PAINTED ZINC,UNMAPPED,seasonal_naive_lag_7,14,812.0000,889.0000,77.0000,71.3571,86.0552,1.2303
23077,DOUGHNUT LIP GLOSS,UNMAPPED,seasonal_naive_lag_7,14,731.0000,889.0000,158.0000,71.2857,144.9985,1.3653
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,UNMAPPED,seasonal_naive_lag_7,14,1269.0000,1772.0000,503.0000,68.9286,142.4858,0.7604
22457,NATURAL SLATE HEART CHALKBOARD,UNMAPPED,lightgbm,14,1030.0000,595.5451,-434.4549,68.2838,168.1169,0.9281
22355,CHARLOTTE BAG SUKI DESIGN,UNMAPPED,seasonal_naive_lag_7,14,1513.0000,1227.0000,-286.0000,67.5714,88.3839,0.6252
22470,HEART OF WICKER LARGE,UNMAPPED,weekday_seasonal_mean,14,926.0000,326.0662,-599.9338,63.1892,198.7971,0.9553
84378,SET OF 3 HEART COOKIE CUTTERS,UNMAPPED,weekday_seasonal_mean,14,1022.0000,201.1054,-820.8946,62.8081,205.0315,0.8604
22469,HEART OF WICKER SMALL,UNMAPPED,weekday_seasonal_mean,14,914.0000,520.6780,-393.3220,62.5289,166.6224,0.9578
M,Manual,UNMAPPED,lstm,14,841.0000,32.3160,-808.6840,60.6949,214.0129,1.0104
71477,COLOURED GLASS STAR T-LIGHT HOLDER,UNMAPPED,seasonal_naive_lag_7,14,636.0000,845.0000,209.0000,60.0714,102.0284,1.3223
21810,CHRISTMAS HANGING STAR WITH BELL,UNMAPPED,gru,14,988.0000,227.0189,-760.9811,59.7268,88.7426,0.8463
22596,CHRISTMAS STAR WISH LIST CHALKBOARD,UNMAPPED,gru,14,903.0000,160.9485,-742.0515,59.4430,86.6325,0.9216
21705,BAG 500g SWIRLY MARBLES,UNMAPPED,weekday_seasonal_mean,14,849.0000,31.6190,-817.3810,59.3374,95.6148,0.9785
22178,VICTORIAN GLASS HANGING T-LIGHT,UNMAPPED,weekday_seasonal_mean,14,1435.0000,744.2876,-690.7124,58.4611,102.5866,0.5704
84991,60 TEATIME FAIRY CAKE CASES,UNMAPPED,weekday_seasonal_mean,14,233.0000,1039.1108,806.1108,57.5793,65.1493,3.4597
23201,JUMBO BAG ALPHABET,UNMAPPED,weekday_seasonal_mean,14,932.0000,231.4404,-700.5596,54.8374,100.4961,0.8237
22030,SWALLOWS GREETING CARD,UNMAPPED,weekday_seasonal_mean,14,738.0000,230.0746,-507.9254,54.7493,170.3175,1.0386
22065,CHRISTMAS PUDDING TRINKET POT,UNMAPPED,seasonal_naive_lag_7,14,636.0000,732.0000,96.0000,54.5714,90.4686,1.2013
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,UNMAPPED,lstm,14,789.0000,62.0747,-726.9253,54.0663,85.8904,0.9594
22866,HAND WARMER SCOTTY DOG DESIGN,UNMAPPED,weekday_seasonal_mean,14,932.0000,219.4098,-712.5902,53.2220,86.6161,0.7995
84946,ANTIQUE SILVER T-LIGHT GLASS,UNMAPPED,seasonal_naive_lag_7,14,983.0000,1122.0000,139.0000,52.2143,60.4867,0.7436
23301,GARDENERS KNEELING PAD KEEP CALM,UNMAPPED,moving_average_7,14,1241.0000,1127.0000,-114.0000,52.1633,66.9287,0.5885
22867,HAND WARMER BIRD DESIGN,UNMAPPED,weekday_seasonal_mean,14,896.0000,203.1338,-692.8662,51.3574,89.1438,0.8025
22152,PLACE SETTING WHITE STAR,UNMAPPED,seasonal_naive_lag_7,14,40.0000,697.0000,657.0000,51.2143,128.3035,17.9250
21592,RETROSPOT CIGAR BOX MATCHES,UNMAPPED,moving_average_7,14,625.0000,574.1426,-50.8574,50.0204,91.5030,1.1205
21914,BLUE HARMONICA IN BOX,UNMAPPED,lightgbm,14,741.0000,1396.8502,655.8502,49.7361,58.1386,0.9397
23310,BUBBLEGUM RING ASSORTED,UNMAPPED,seasonal_naive_lag_7,14,848.0000,1172.0000,324.0000,49.7143,73.5255,0.8208
20973,12 PENCIL SMALL TUBE WOODLAND,UNMAPPED,seasonal_naive_lag_7,14,455.0000,950.0000,495.0000,48.9286,102.3925,1.5055
22574,HEART WOODEN CHRISTMAS DECORATION,UNMAPPED,seasonal_naive_lag_7,14,513.0000,719.0000,206.0000,48.1429,62.0702,1.3138
20724,RED RETROSPOT CHARLOTTE BAG,UNMAPPED,weekday_seasonal_mean,14,1206.0000,585.9190,-620.0810,47.8680,66.5349,0.5557
22154,ANGEL DECORATION 3 BUTTONS,UNMAPPED,lightgbm,14,323.0000,668.0768,345.0768,47.5648,57.9320,2.0616
23461,SWEETHEART BIRD HOUSE,UNMAPPED,gru,14,659.0000,26.5299,-632.4701,47.1631,168.1451,1.0019
21819,GLITTER CHRISTMAS STAR,UNMAPPED,lightgbm,14,409.0000,855.0124,446.0124,46.7271,62.1023,1.5995
22476,EMPIRE UNION JACK TV DINNER TRAY,UNMAPPED,seasonal_naive_lag_7,14,636.0000,38.0000,-598.0000,46.4286,160.4841,1.0220
22544,MINI JIGSAW SPACEBOY,UNMAPPED,lstm,14,661.0000,41.4603,-619.5397,45.9541,80.8757,0.9733
22754,SMALL RED BABUSHKA NOTEBOOK,UNMAPPED,seasonal_naive_lag_7,14,674.0000,110.0000,-564.0000,45.2857,79.8615,0.9407
21174,POTTERING IN THE SHED METAL SIGN,UNMAPPED,lstm,14,664.0000,57.2834,-606.7166,44.9651,75.5178,0.9481
16008,SMALL FOLDING SCISSOR(POINTED EDGE),UNMAPPED,lstm,14,624.0000,26.9960,-597.0040,44.8949,91.9935,1.0073
21212,PACK OF 72 RETROSPOT CAKE CASES,UNMAPPED,moving_average_7,14,827.0000,864.5716,37.5716,44.4592,66.1588,0.7526
22319,HAIRCLIPS FORTIES FABRIC ASSORTED,UNMAPPED,lstm,14,624.0000,11.2155,-612.7845,44.3882,79.7573,0.9959
22818,CARD CHRISTMAS VILLAGE,UNMAPPED,xgboost,14,543.0000,715.2611,172.2611,44.3637,64.6602,1.1438
23202,JUMBO BAG VINTAGE LEAF,UNMAPPED,weekday_seasonal_mean,14,779.0000,187.1060,-591.8940,44.3090,77.2223,0.7963
20713,JUMBO BAG OWLS,UNMAPPED,lstm,14,661.0000,81.0091,-579.9909,44.0557,76.4231,0.9331
35970,ZINC FOLKART SLEIGH BELLS,UNMAPPED,xgboost,14,531.0000,1021.3438,490.3438,43.8879,49.3034,1.1571
35953,FOLKART STAR CHRISTMAS DECORATIONS,UNMAPPED,moving_average_7,14,605.0000,692.1430,87.1430,43.7551,49.2966,1.0125
22299,PIG KEYRING WITH LIGHT & SOUND,UNMAPPED,lstm,14,627.0000,31.6419,-595.3581,43.6854,67.4735,0.9754
21563,RED HEART SHAPE LOVE BUCKET,UNMAPPED,lstm,14,623.0000,19.4665,-603.5335,43.6035,101.6820,0.9799
22644,CERAMIC CHERRY CAKE MONEY BANK,UNMAPPED,weekday_seasonal_mean,14,650.0000,81.1536,-568.8464,43.5424,81.3944,0.9378
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,UNMAPPED,weekday_seasonal_mean,14,594.0000,333.5602,-260.4398,43.2216,74.3450,1.0187
21564,PINK HEART SHAPE LOVE BUCKET,UNMAPPED,lstm,14,605.0000,9.9007,-595.0993,43.1812,102.8911,0.9992
22988,SOLDIERS EGG CUP,UNMAPPED,weekday_seasonal_mean,14,672.0000,163.1218,-508.8782,43.0513,95.0735,0.8969
22438,BALLOON ART MAKE YOUR OWN FLOWERS,UNMAPPED,weekday_seasonal_mean,14,607.0000,16.2630,-590.7370,43.0007,82.9799,0.9918
23203,JUMBO BAG VINTAGE DOILY,UNMAPPED,weekday_seasonal_mean,14,909.0000,354.1106,-554.8894,42.8296,72.1853,0.6596
82578,KITCHEN METAL SIGN,UNMAPPED,seasonal_naive_lag_7,14,326.0000,327.0000,1.0000,42.7857,99.6232,1.8374
23307,SET OF 60 PANTRY DESIGN CAKE CASES,UNMAPPED,weekday_seasonal_mean,14,704.0000,213.6950,-490.3050,42.1193,104.0141,0.8376
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,UNMAPPED,weekday_seasonal_mean,14,870.0000,314.3336,-555.6664,41.7822,65.8450,0.6724
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,UNMAPPED,gru,14,672.0000,138.8285,-533.1715,41.7811,67.8301,0.8704
84568,GIRLS ALPHABET IRON ON PATCHES,UNMAPPED,lightgbm,14,479.0000,465.0492,-13.9508,41.2953,73.7002,1.2070
22114,HOT WATER BOTTLE TEA AND SYMPATHY,UNMAPPED,seasonal_naive_lag_7,14,981.0000,820.0000,-161.0000,41.2143,56.8789,0.5882
22492,MINI PAINT SET VINTAGE,UNMAPPED,weekday_seasonal_mean,14,521.0000,824.6984,303.6984,40.4196,48.5585,1.0861
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,UNMAPPED,weekday_seasonal_mean,14,840.0000,391.6748,-448.3252,39.4492,79.2750,0.6575
23167,SMALL CERAMIC TOP STORAGE JAR,UNMAPPED,lstm,14,544.0000,53.1752,-490.8248,39.3060,80.3197,1.0116
84212,"ASSORTED FLOWER COLOUR ""LEIS""",UNMAPPED,lstm,14,534.0000,12.3667,-521.6333,38.7586,128.7635,1.0161
22758,LARGE PURPLE BABUSHKA NOTEBOOK,UNMAPPED,gru,14,555.0000,24.2356,-530.7644,38.5541,79.3749,0.9725
23177,TREASURE ISLAND BOOK BOX,UNMAPPED,weekday_seasonal_mean,14,533.0000,37.3426,-495.6574,38.3201,134.5938,1.0065
22659,LUNCH BOX I LOVE LONDON,UNMAPPED,seasonal_naive_lag_7,14,326.0000,364.0000,38.0000,38.1429,77.9460,1.6380
21326,AGED GLASS SILVER T-LIGHT HOLDER,UNMAPPED,lightgbm,14,740.0000,675.4868,-64.5132,37.7449,47.0228,0.7141
21977,PACK OF 60 PINK PAISLEY CAKE CASES,UNMAPPED,xgboost,14,456.0000,814.0206,358.0206,37.5011,45.3250,1.1514
22059,CERAMIC STRAWBERRY DESIGN MUG,UNMAPPED,lstm,14,534.0000,19.9562,-514.0438,37.4989,63.4341,0.9831
23439,HAND WARMER RED LOVE HEART,UNMAPPED,xgboost,14,534.0000,958.9287,424.9287,37.3202,45.8897,0.9784
17003,BROCADE RING PURSE,UNMAPPED,gru,14,551.0000,126.8441,-424.1559,37.2949,55.3765,0.9476
21232,STRAWBERRY CERAMIC TRINKET POT,UNMAPPED,weekday_seasonal_mean,14,728.0000,712.5522,-15.4478,37.1710,58.1234,0.7148
22915,ASSORTED BOTTLE TOP MAGNETS,UNMAPPED,weekday_seasonal_mean,14,558.0000,51.0550,-506.9450,37.0848,67.1432,0.9304
20719,WOODLAND CHARLOTTE BAG,UNMAPPED,seasonal_naive_lag_7,14,709.0000,552.0000,-157.0000,37.0714,44.6150,0.7320
21891,TRADITIONAL WOODEN SKIPPING ROPE,UNMAPPED,weekday_seasonal_mean,14,647.0000,217.6484,-429.3516,36.7241,80.6459,0.7946
22464,HANGING METAL HEART LANTERN,UNMAPPED,weekday_seasonal_mean,14,554.0000,139.6814,-414.3186,36.6403,66.7821,0.9259
23209,LUNCH BAG VINTAGE DOILY,UNMAPPED,weekday_seasonal_mean,14,693.0000,236.6856,-456.3144,36.4938,49.9886,0.7372
20992,JAZZ HEARTS PURSE NOTEBOOK,UNMAPPED,xgboost,14,443.0000,596.6096,153.6096,36.3636,53.7156,1.1492
22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,UNMAPPED,seasonal_naive_lag_7,14,17.0000,526.0000,509.0000,36.3571,69.4504,29.9412
21733,RED HANGING HEART T-LIGHT HOLDER,UNMAPPED,xgboost,14,501.0000,759.4106,258.4106,36.3316,42.6667,1.0153
23275,SET OF 3 HANGING OWLS OLLIE BEAK,UNMAPPED,lightgbm,14,473.0000,755.6310,282.6310,36.1901,45.8113,1.0712
22422,TOOTHPASTE TUBE PEN,UNMAPPED,lightgbm,14,583.0000,207.8179,-375.1821,35.7660,55.8347,0.8589
20723,STRAWBERRY CHARLOTTE BAG,UNMAPPED,seasonal_naive_lag_7,14,538.0000,583.0000,45.0000,35.6429,45.2572,0.9275
23293,SET OF 12 FAIRY CAKE BAKING CASES,UNMAPPED,xgboost,14,734.0000,904.3457,170.3457,35.6386,55.2729,0.6798
23300,GARDENERS KNEELING PAD CUP OF TEA,UNMAPPED,gru,14,640.0000,203.4684,-436.5316,35.3087,39.0911,0.7724
21497,FANCY FONTS BIRTHDAY WRAP,UNMAPPED,gru,14,500.0000,102.4077,-397.5923,35.2683,59.1509,0.9875
23308,SET OF 60 VINTAGE LEAF CAKE CASES,UNMAPPED,weekday_seasonal_mean,14,526.0000,107.5714,-418.4286,35.1621,97.0040,0.9359
22573,STAR WOODEN CHRISTMAS DECORATION,UNMAPPED,lightgbm,14,438.0000,460.2038,22.2038,34.8702,41.8189,1.1146
22386,JUMBO BAG PINK POLKADOT,UNMAPPED,lstm,14,560.0000,189.3241,-370.6759,33.8481,88.3799,0.8462
23326,HANGING MINI COLOURED BOTTLES,UNMAPPED,lstm,14,468.0000,20.5648,-447.4352,33.7036,103.2617,1.0082
22633,HAND WARMER UNION JACK,UNMAPPED,moving_average_7,14,619.0000,570.5714,-48.4286,33.1735,45.2354,0.7503
23493,VINTAGE DOILY TRAVEL SEWING KIT,UNMAPPED,xgboost,14,716.0000,1076.6633,360.6633,33.1497,43.1730,0.6482
22755,SMALL PURPLE BABUSHKA NOTEBOOK,UNMAPPED,gru,14,497.0000,51.7147,-445.2853,33.1236,63.2275,0.9331
22960,JAM MAKING SET WITH JARS,UNMAPPED,weekday_seasonal_mean,14,571.0000,160.7960,-410.2040,33.0423,61.4040,0.8101
22621,TRADITIONAL KNITTING NANCY,UNMAPPED,lightgbm,14,440.0000,764.3216,324.3216,32.5146,42.5849,1.0346
21498,RED RETROSPOT WRAP,UNMAPPED,xgboost,14,525.0000,535.9303,10.9303,32.4935,39.2595,0.8665
85099F,JUMBO BAG STRAWBERRY,UNMAPPED,gru,14,479.0000,120.1016,-358.8984,32.4551,65.8481,0.9486
23090,VINTAGE GLASS T-LIGHT HOLDER,UNMAPPED,weekday_seasonal_mean,14,470.0000,29.8434,-440.1566,32.2269,56.9765,0.9599
22029,SPACEBOY BIRTHDAY CARD,UNMAPPED,seasonal_naive_lag_7,14,429.0000,225.0000,-204.0000,31.8571,65.0308,1.0396
85099C,JUMBO BAG BAROQUE BLACK WHITE,UNMAPPED,weekday_seasonal_mean,14,588.0000,574.8168,-13.1832,31.8413,46.9678,0.7581
22666,RECIPE BOX PANTRY YELLOW DESIGN,UNMAPPED,weekday_seasonal_mean,14,623.0000,192.2292,-430.7708,31.6793,66.4473,0.7119
22561,WOODEN SCHOOL COLOURING SET,UNMAPPED,xgboost,14,343.0000,497.3957,154.3957,31.4986,37.8865,1.2857
84949,SILVER HANGING T-LIGHT HOLDER,UNMAPPED,weekday_seasonal_mean,14,499.0000,216.2092,-282.7908,31.4673,49.7638,0.8829
22597,MUSICAL ZINC HEART DECORATION,UNMAPPED,lightgbm,14,503.0000,705.6900,202.6900,31.3731,38.4089,0.8732
15036,ASSORTED COLOURS SILK FAN,UNMAPPED,seasonal_naive_lag_7,14,157.0000,380.0000,223.0000,31.2143,48.9716,2.7834
22993,SET OF 4 PANTRY JELLY MOULDS,UNMAPPED,seasonal_naive_lag_7,14,851.0000,852.0000,1.0000,31.2143,52.4738,0.5135
22816,CARD MOTORBIKE SANTA,UNMAPPED,xgboost,14,444.0000,833.1567,389.1567,30.9359,40.6114,0.9755
