sku_id,description,selected_model,model_family,selection_observations
10002,INFLATABLE POLITICAL GLOBE,moving_average_7,statistical,14
10120,DOGGY RUBBER,seasonal_naive_lag_7,statistical,14
10123C,HEARTS WRAPPING TAPE,moving_average_7,statistical,14
10125,MINI FUNKY DESIGN TAPES,lstm,deep_learning,14
10133,COLOURING PENCILS BROWN TUBE,moving_average_7,statistical,14
10134,COLOURING PENCILS BROWN TUBE,moving_average_7,statistical,14
10135,COLOURING PENCILS BROWN TUBE,lstm,deep_learning,14
11001,ASSTD DESIGN RACING CAR PEN,naive_lag_1,statistical,14
15034,PAPER POCKET TRAVELING FAN,seasonal_naive_lag_7,statistical,14
15036,ASSORTED COLOURS SILK FAN,seasonal_naive_lag_7,statistical,14
15039,SANDALWOOD FAN,gru,deep_learning,14
15044A,PINK PAPER PARASOL,lstm,deep_learning,14
15044B,BLUE PAPER PARASOL,moving_average_7,statistical,14
15044C,PURPLE PAPER PARASOL,lstm,deep_learning,14
15044D,RED PAPER PARASOL,lstm,deep_learning,14
15056BL,EDWARDIAN PARASOL BLACK,gru,deep_learning,14
15056N,EDWARDIAN PARASOL NATURAL,lstm,deep_learning,14
15056P,EDWARDIAN PARASOL PINK,lstm,deep_learning,14
15058A,BLUE POLKADOT GARDEN PARASOL,seasonal_naive_lag_7,statistical,14
15058B,PINK POLKADOT GARDEN PARASOL,naive_lag_1,statistical,14
15058C,ICE CREAM DESIGN GARDEN PARASOL,naive_lag_1,statistical,14
15060B,FAIRY CAKE DESIGN UMBRELLA,lstm,deep_learning,14
16008,SMALL FOLDING SCISSOR(POINTED EDGE),lstm,deep_learning,14
16011,ANIMAL STICKERS,weekday_seasonal_mean,statistical,14
16012,FOOD/DRINK SPONGE STICKERS,lstm,deep_learning,14
16014,SMALL CHINESE STYLE SCISSOR,lstm,deep_learning,14
16015,MEDIUM CHINESE STYLE SCISSOR,lstm,deep_learning,14
16016,LARGE CHINESE STYLE SCISSOR,lstm,deep_learning,14
16020C,CLEAR STATIONERY BOX SET,moving_average_7,statistical,14
16033,UNKNOWN,moving_average_7,statistical,14
16045,POPART WOODEN PENCILS ASST,lstm,deep_learning,14
16046,TEATIME PEN CASE & PENS,moving_average_7,statistical,14
16048,TEATIME ROUND PENCIL SHARPENER,gru,deep_learning,14
16052,TEATIME PUSH DOWN RUBBER,moving_average_7,statistical,14
16156L,WRAP CAROUSEL,seasonal_naive_lag_7,statistical,14
16156N,"WRAP, FRIENDSHIP ON GREEN",moving_average_7,statistical,14
16156S,WRAP PINK FAIRY CAKES,lightgbm,machine_learning,14
16161G,WRAP BAD HAIR DAY,lstm,deep_learning,14
16161M,WRAP PINK FLOCK,moving_average_7,statistical,14
16161P,WRAP ENGLISH ROSE,lstm,deep_learning,14
16161U,WRAP SUKI AND FRIENDS,lstm,deep_learning,14
16168M,FUNKY MONKEY GIFT BAG MEDIUM,lstm,deep_learning,14
16169C,WRAP BLUE REINDEER,moving_average_7,statistical,14
16169E,WRAP 50'S CHRISTMAS,lstm,deep_learning,14
16169K,WRAP FOLK ART,moving_average_7,statistical,14
16169M,WRAP DAISY CARPET,seasonal_naive_lag_7,statistical,14
16169N,WRAP BLUE RUSSIAN FOLKART,moving_average_7,statistical,14
16169P,WRAP GREEN RUSSIAN FOLKART,moving_average_7,statistical,14
16207A,UNKNOWN,naive_lag_1,statistical,14
16207B,PINK HEART RED HANDBAG,moving_average_7,statistical,14
16212,UNKNOWN,moving_average_7,statistical,14
16216,LETTER SHAPE PENCIL SHARPENER,lstm,deep_learning,14
16218,CARTOON PENCIL SHARPENERS,moving_average_7,statistical,14
16219,HOUSE SHAPE PENCIL SHARPENER,weekday_seasonal_mean,statistical,14
16225,RATTLE SNAKE EGGS,weekday_seasonal_mean,statistical,14
16235,RECYCLED PENCIL WITH RABBIT ERASER,seasonal_naive_lag_7,statistical,14
16236,KITTY PENCIL ERASERS,lstm,deep_learning,14
16237,SLEEPING CAT ERASERS,weekday_seasonal_mean,statistical,14
16238,PARTY TIME PENCIL ERASERS,lstm,deep_learning,14
16256B,UNKNOWN,moving_average_7,statistical,14
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,gru,deep_learning,14
16259,PIECE OF CAMO STATIONERY SET,lstm,deep_learning,14
17003,BROCADE RING PURSE,gru,deep_learning,14
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,naive_lag_1,statistical,14
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,naive_lag_1,statistical,14
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,seasonal_naive_lag_7,statistical,14
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,weekday_seasonal_mean,statistical,14
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,seasonal_naive_lag_7,statistical,14
17013D,ORIGAMI ROSE INCENSE IN TUBE,moving_average_7,statistical,14
17021,NAMASTE SWAGAT INCENSE,lstm,deep_learning,14
17033,UNKNOWN,moving_average_7,statistical,14
17038,PORCELAIN BUDAH INCENSE HOLDER,lstm,deep_learning,14
17039,INLAID WOOD INCENSE HOLDER,moving_average_7,statistical,14
17084N,FAIRY DREAMS INCENSE,lstm,deep_learning,14
17084P,DRAGONS BLOOD INCENSE,lstm,deep_learning,14
17084R,ASSORTED INCENSE PACK,naive_lag_1,statistical,14
17091A,LAVENDER INCENSE IN TIN,moving_average_7,statistical,14
17091B,JASMINE TEA INCENSE IN TIN,moving_average_7,statistical,14
17091J,VANILLA INCENSE IN TIN,lstm,deep_learning,14
17096,ASSORTED LAQUERED INCENSE HOLDERS,moving_average_7,statistical,14
17107D,FLOWER FAIRY 5 DRAWER LINERS,weekday_seasonal_mean,statistical,14
17109D,Adjustment,moving_average_7,statistical,14
17129D,CLEAR COLOUR GLASS GEMS IN BAG,moving_average_7,statistical,14
17129F,BLUE GLASS GEMS IN BAG,naive_lag_1,statistical,14
17136A,check,seasonal_naive_lag_7,statistical,14
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,moving_average_7,statistical,14
17165B,UNKNOWN,moving_average_7,statistical,14
17165D,UNKNOWN,moving_average_7,statistical,14
17181,CIRCLE OF FRIENDS CANDLE HOLDER,moving_average_7,statistical,14
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,moving_average_7,statistical,14
18094C,WHITE AND BLUE CERAMIC OIL BURNER,moving_average_7,statistical,14
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,lstm,deep_learning,14
18098C,PORCELAIN BUTTERFLY OIL BURNER,moving_average_7,statistical,14
20615,BLUE POLKADOT PASSPORT COVER,lstm,deep_learning,14
20616,CHERRY BLOSSOM PASSPORT COVER,seasonal_naive_lag_7,statistical,14
20617,FIRST CLASS PASSPORT COVER,naive_lag_1,statistical,14
20618,QUEEN OF THE SKIES PASSPORT COVER,naive_lag_1,statistical,14
20619,TROPICAL PASSPORT COVER,lstm,deep_learning,14
20621,UNKNOWN,moving_average_7,statistical,14
20622,VIP PASSPORT COVER,naive_lag_1,statistical,14
20652,BLUE POLKADOT LUGGAGE TAG,weekday_seasonal_mean,statistical,14
20653,CHERRY BLOSSOM LUGGAGE TAG,seasonal_naive_lag_7,statistical,14
20654,FIRST CLASS LUGGAGE TAG,lstm,deep_learning,14
20655,QUEEN OF SKIES LUGGAGE TAG,lstm,deep_learning,14
20657,TROPICAL LUGGAGE TAG,naive_lag_1,statistical,14
20658,RED RETROSPOT LUGGAGE TAG,moving_average_7,statistical,14
20659,ECONOMY LUGGAGE TAG,weekday_seasonal_mean,statistical,14
20661,BLUE POLKADOT PURSE,naive_lag_1,statistical,14
20662,FIRST CLASS HOLIDAY PURSE,moving_average_7,statistical,14
20663,QUEEN OF THE SKIES HOLIDAY PURSE,moving_average_7,statistical,14
20664,TROPICAL HOLIDAY PURSE,moving_average_7,statistical,14
20665,RED RETROSPOT PURSE,seasonal_naive_lag_7,statistical,14
20666,ECONOMY HOLIDAY PURSE,moving_average_7,statistical,14
20668,DISCO BALL CHRISTMAS DECORATION,moving_average_7,statistical,14
20669,RED HEART LUGGAGE TAG,lstm,deep_learning,14
20670,VIP HOLIDAY PURSE,lstm,deep_learning,14
20671,BLUE TEATIME PRINT BOWL,moving_average_7,statistical,14
20672,UNKNOWN,moving_average_7,statistical,14
20674,GREEN POLKADOT BOWL,lstm,deep_learning,14
20675,BLUE POLKADOT BOWL,lstm,deep_learning,14
20676,RED RETROSPOT BOWL,gru,deep_learning,14
20677,PINK POLKADOT BOWL,gru,deep_learning,14
20679,EDWARDIAN PARASOL RED,lstm,deep_learning,14
20681,PINK POLKADOT CHILDRENS UMBRELLA,moving_average_7,statistical,14
20682,RED RETROSPOT CHILDRENS UMBRELLA,weekday_seasonal_mean,statistical,14
20684,UNKNOWN,moving_average_7,statistical,14
20685,DOORMAT RED RETROSPOT,lstm,deep_learning,14
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,weekday_seasonal_mean,statistical,14
20689,RETRO SISTERS EXPRESSO CUPS,moving_average_7,statistical,14
20692,UNKNOWN,moving_average_7,statistical,14
20694,FLORAL PINK MONSTER,seasonal_naive_lag_7,statistical,14
20695,FLORAL BLUE MONSTER,naive_lag_1,statistical,14
20696,FLORAL SOFT CAR TOY,naive_lag_1,statistical,14
20699,MOUSEY LONG LEGS SOFT TOY,lstm,deep_learning,14
20700,GREEN CAT FLORAL CUSHION COVER,moving_average_7,statistical,14
20701,PINK CAT FLORAL CUSHION COVER,moving_average_7,statistical,14
20702,PINK PADDED MOBILE,moving_average_7,statistical,14
