candidate,fold,training_end_exclusive,validation_start,validation_end_exclusive,validation_rows,mae,rmse,wmape
recent_demand,1,2011-10-01,2011-10-01,2011-10-15,44988,7.4366,35.5081,1.2284
balanced_history,1,2011-10-01,2011-10-01,2011-10-15,44988,7.3003,34.4761,1.2059
seasonal_history,1,2011-10-01,2011-10-01,2011-10-15,44988,7.4441,36.4227,1.2297
smoothed_history,1,2011-10-01,2011-10-01,2011-10-15,44988,7.2000,33.3713,1.1893
recent_demand,2,2011-10-15,2011-10-15,2011-10-29,45386,7.2761,41.0414,1.1996
balanced_history,2,2011-10-15,2011-10-15,2011-10-29,45386,7.2097,40.5077,1.1886
seasonal_history,2,2011-10-15,2011-10-15,2011-10-29,45386,7.2412,41.3125,1.1938
smoothed_history,2,2011-10-15,2011-10-15,2011-10-29,45386,7.2267,40.1778,1.1914
recent_demand,3,2011-10-29,2011-10-29,2011-11-12,45796,7.7643,38.2031,1.0744
balanced_history,3,2011-10-29,2011-10-29,2011-11-12,45796,7.5372,36.7116,1.0430
seasonal_history,3,2011-10-29,2011-10-29,2011-11-12,45796,7.6792,39.7925,1.0626
smoothed_history,3,2011-10-29,2011-10-29,2011-11-12,45796,7.3920,34.9361,1.0229
