date,sku_id,location_id,on_hand_quantity,inventory_value,on_order_quantity,reserved_quantity,lead_time_days,supplier_id,category,data_source,description
2011-12-09,10002,SIM-DC-01,1,18.91,0,0,3,SIM-SUP-05,UNMAPPED,synthetic_demo,INFLATABLE POLITICAL GLOBE
2011-12-09,10120,SIM-DC-01,3,59.65,0,0,3,SIM-SUP-02,UNMAPPED,synthetic_demo,DOGGY RUBBER
2011-12-09,10123C,SIM-DC-01,1,20.50,0,0,7,SIM-SUP-11,UNMAPPED,synthetic_demo,HEARTS WRAPPING TAPE
2011-12-09,10125,SIM-DC-01,3,50.97,0,0,14,SIM-SUP-02,UNMAPPED,synthetic_demo,MINI FUNKY DESIGN TAPES
2011-12-09,10133,SIM-DC-01,1,24.78,1,0,14,SIM-SUP-08,UNMAPPED,synthetic_demo,COLOURING PENCILS BROWN TUBE
2011-12-09,10134,SIM-DC-01,1,16.66,0,0,14,SIM-SUP-06,UNMAPPED,synthetic_demo,COLOURING PENCILS BROWN TUBE
2011-12-09,10135,SIM-DC-01,43,353.85,0,4,5,SIM-SUP-10,UNMAPPED,synthetic_demo,COLOURING PENCILS BROWN TUBE
2011-12-09,11001,SIM-DC-01,14,117.72,1,2,5,SIM-SUP-02,UNMAPPED,synthetic_demo,ASSTD DESIGN RACING CAR PEN
2011-12-09,15034,SIM-DC-01,10,117.79,0,1,3,SIM-SUP-11,UNMAPPED,synthetic_demo,PAPER POCKET TRAVELING FAN
2011-12-09,15036,SIM-DC-01,72,1130.06,0,5,5,SIM-SUP-02,UNMAPPED,synthetic_demo,ASSORTED COLOURS SILK FAN
2011-12-09,15039,SIM-DC-01,23,81.15,0,3,7,SIM-SUP-03,UNMAPPED,synthetic_demo,SANDALWOOD FAN
2011-12-09,15044A,SIM-DC-01,12,140.78,3,2,10,SIM-SUP-06,UNMAPPED,synthetic_demo,PINK PAPER PARASOL
